,open,high,low,close,volume,Symbol,MA_10,MA_50,RSI,MACD,Signal_Line
2024-12-26,258.19,260.1,257.63,259.02,27262983,AAPL,252.54299999999998,236.41740000000001,76.8120805369128,6.180838004874204,5.39628633869653
2024-12-27,257.83,258.7,253.06,255.59,42355321,AAPL,253.30599999999998,236.89359999999996,69.30063578564946,6.0270563101675805,5.522440332990741
2024-12-30,252.23,253.5,250.75,252.2,35557542,AAPL,253.71299999999997,237.2946,58.38203629652415,5.567460323600642,5.531444331112722
2024-12-31,252.44,253.28,249.43,250.42,39480718,AAPL,253.65099999999998,237.60299999999998,53.982566877066404,5.001936854653877,5.425542835820953
2025-01-02,248.93,249.1,241.8201,243.85,55740731,AAPL,252.68799999999996,237.7504,46.57676348547715,3.9777582182465494,5.135985912306072
2025-01-03,243.36,244.18,241.89,243.36,40244114,AAPL,252.219,237.90040000000002,43.87972325705161,3.090920161594113,4.726972762163681
2025-01-06,244.31,247.33,243.2,245.0,45045571,AAPL,251.74,238.1852,45.99231754161331,2.4917060697827367,4.279919423687492
2025-01-07,242.98,245.55,241.35,242.21,40855960,AAPL,250.512,238.418,38.65913177498073,1.771276726400231,3.77819088423004
2025-01-08,241.92,243.7123,240.05,242.7,37628940,AAPL,249.25499999999997,238.6438,35.42455381287178,1.2257406114834453,3.267700829680721
2025-01-10,240.01,240.16,233.0,236.85,61710856,AAPL,247.12000000000003,238.7128,35.02673796791437,0.3176910557910162,2.6776988749027804
2025-01-13,233.53,234.67,229.72,234.4,49630725,AAPL,244.658,238.72740000000002,29.808449225924917,-0.592805787623746,2.023597942397475
2025-01-14,234.75,236.12,232.472,233.28,39435294,AAPL,242.427,238.791,19.28757602085132,-1.3887471232037,1.34112892927724
2025-01-15,234.635,238.96,234.43,237.87,39831969,AAPL,240.994,239.0302,27.308294209702595,-1.6303678605019627,0.7468295713213994
2025-01-16,237.35,238.01,228.03,228.26,71759052,AAPL,238.77800000000002,239.1372,16.74811195024428,-2.567701852852366,0.08392328648664638
2025-01-17,232.115,232.29,228.48,229.98,68488301,AAPL,237.39100000000002,239.2966,18.37979094076651,-3.135610800102995,-0.5599835308312819
2025-01-21,224.0,224.42,219.38,222.64,98070429,AAPL,235.31900000000002,239.28040000000001,16.937587798514897,-4.130347316608692,-1.274056287986764
2025-01-22,219.79,224.12,219.79,223.83,64126500,AAPL,233.202,239.30259999999998,20.218349779550707,-4.767701028211661,-1.9727852360317437
2025-01-23,224.74,227.03,222.3,223.66,60234760,AAPL,231.34699999999998,239.22619999999998,20.925684485006514,-5.226280705071986,-2.6234843298397923
2025-01-24,224.78,225.63,221.41,222.78,54697907,AAPL,229.35500000000002,239.1426,23.878006446813785,-5.596207452411846,-3.218028954354203
2025-01-27,224.02,232.15,223.98,229.86,94863418,AAPL,228.656,239.2552,35.613810741687985,-5.257475331924127,-3.625918229868188
2025-01-28,230.85,240.19,230.81,238.26,75707569,AAPL,229.042,239.53580000000002,43.72205663189269,-4.262087199554287,-3.753152023805408
2025-01-29,234.12,239.855,234.01,239.36,45486100,AAPL,229.65,239.82059999999998,47.25908828620889,-3.3459046206371,-3.6717025431717465
2025-01-30,238.665,240.79,237.21,237.59,55658279,AAPL,229.622,240.00799999999998,45.203679369251006,-2.7311643708229667,-3.4835949087019906
2025-01-31,247.19,247.19,233.44,236.0,101075128,AAPL,230.39600000000002,240.22799999999998,49.13283003468681,-2.345243498509035,-3.2559246266633997
2025-02-03,229.99,231.83,225.7,228.01,73063301,AAPL,230.19899999999998,240.2278,44.142988084326305,-2.6535363364567104,-3.135446968622062
2025-02-04,227.25,233.13,226.65,232.8,45067301,AAPL,231.215,240.3182,49.58777052559259,-2.4827283167694816,-3.004903238251546
2025-02-05,228.53,232.67,228.27,232.47,39664989,AAPL,232.079,240.38760000000002,44.99629355077836,-2.346935955854775,-2.8733097817721918
2025-02-06,231.285,233.8,230.425,233.22,29925349,AAPL,233.03500000000003,240.4816,55.49889135254988,-2.1539711607694016,-2.729442057571634
2025-02-07,232.6,234.0,227.26,227.63,39707224,AAPL,233.51999999999998,240.4368,47.600571778639996,-2.424167162787768,-2.6683870786148605
2025-02-10,229.57,230.585,227.2,227.65,33115645,AAPL,233.29899999999998,240.3324,56.01440576230493,-2.606637908952706,-2.65603724468243
2025-02-11,228.2,235.23,228.13,232.62,53718362,AAPL,232.73499999999999,240.2836,59.674224081003715,-2.32342680798277,-2.5895151573424977
2025-02-12,231.2,236.96,230.68,236.87,45243292,AAPL,232.48600000000002,240.32240000000002,63.34073924459704,-1.736028631348404,-2.418817852143679
2025-02-13,236.91,242.3399,235.57,241.53,53614054,AAPL,232.87999999999997,240.40640000000002,67.59241884030772,-0.8842946908930287,-2.111913219893549
2025-02-14,241.25,245.55,240.99,244.6,40896227,AAPL,233.73999999999995,240.5066,64.95535714285711,0.03799594269329987,-1.6819313873761794
2025-02-18,244.15,245.18,241.84,244.47,48822491,AAPL,235.38600000000002,240.543,57.57132406730066,0.7497849468684308,-1.1955881205272576
2025-02-19,244.66,246.01,243.1604,244.87,32204215,AAPL,236.593,240.5802,56.8345323741007,1.3308186686937518,-0.6903067626830558
2025-02-20,244.94,246.78,244.29,245.83,32316907,AAPL,237.929,240.636,60.430379746835435,1.8474596909934462,-0.18275347194775543
2025-02-21,245.95,248.69,245.22,245.55,53197431,AAPL,239.16199999999998,240.6902,62.50327310814349,2.2088455666870175,0.2955663357791992
2025-02-24,244.925,248.86,244.42,247.1,51326396,AAPL,241.109,240.6972,80.06299212598424,2.5904573431798497,0.7545445372593294
2025-02-25,248.0,250.0,244.91,247.04,48013272,AAPL,243.048,240.68259999999998,76.3508512213175,2.8551337225610496,1.1746623743196736
2025-02-26,244.33,244.98,239.13,240.36,44433564,AAPL,243.82200000000003,240.56,61.82199580461496,2.4970866269473504,1.439147224845209
2025-02-27,239.41,242.46,237.06,237.3,41153639,AAPL,243.865,240.3468,55.717488789237684,1.9440060064301008,1.5401189811621876
2025-02-28,236.95,242.09,230.2,241.84,56833360,AAPL,243.89600000000002,240.22099999999998,70.516892867456,1.850692061507118,1.6022335972311739
2025-03-03,241.79,244.0272,236.112,238.03,47183985,AAPL,243.23900000000003,239.9608,63.50858927641854,1.452560713644317,1.5722990205138028
2025-03-04,237.705,240.07,234.68,235.93,53798062,AAPL,242.385,239.60980000000004,54.65541490857947,0.956559677983762,1.4491511520077949
2025-03-05,235.42,236.55,229.23,235.74,47227643,AAPL,241.47200000000004,239.36360000000002,48.205779612575434,0.5418972178168815,1.2677003651696122
2025-03-06,234.435,237.86,233.1581,235.33,45170419,AAPL,240.42200000000003,239.07440000000003,38.61967694566814,0.17813720238333985,1.0497877326123577
2025-03-07,235.105,241.37,234.76,239.07,46273565,AAPL,239.77399999999997,238.76600000000002,40.09315657470438,0.18945756405355496,0.8777216989005973
2025-03-10,235.54,236.16,224.22,227.48,71451281,AAPL,237.81199999999998,238.21020000000001,28.422656845313654,-0.7283906718350579,0.5564992247534662
2025-03-11,223.805,225.8399,217.45,220.84,76137410,AAPL,235.192,237.463,23.65709274281953,-1.9688883988493728,0.05142170003289842
2025-03-12,220.14,221.75,214.91,216.98,62547467,AAPL,232.85399999999998,236.62219999999996,20.263863121005926,-3.226271080711342,-0.6041168561159498
2024-10-16,415.17,416.36,410.48,416.12,15508932,MSFT,250.73599999999996,239.83280000000002,84.47669482960748,11.711178625302352,1.8589422401677105
2024-10-17,422.36,422.5,415.59,416.72,14820004,MSFT,268.22400000000005,243.1232,84.41684928171415,23.3287112596401,6.152896044062189
2024-10-18,417.14,419.65,416.2601,418.16,17145317,MSFT,286.23699999999997,246.47799999999998,84.52784503631962,32.279784277885994,11.378273690826951
2024-10-21,416.12,418.96,413.7501,418.78,14206115,MSFT,304.52200000000005,249.9766,86.90328452055928,38.97433112377229,16.89748517741602
2024-10-22,418.49,430.5793,418.04,427.51,25482197,MSFT,323.69899999999996,253.65959999999998,88.44024089567924,44.47160479364027,22.41230910066087
2024-10-23,430.855,431.08,422.53,424.6,19654379,MSFT,342.626,257.2516,87.17959150459762,48.03964992195682,27.537777264920063
2024-10-24,425.325,425.9782,422.4,424.73,13581631,MSFT,361.19199999999995,260.902,88.5584469227592,50.298036846740956,32.089829181284244
2024-10-25,426.76,432.52,426.565,428.15,16899064,MSFT,381.259,264.611,89.48319776517954,51.7670518237457,36.02527370977654
2024-10-28,431.655,431.94,426.3,426.59,14882444,MSFT,401.834,268.4058,88.9823930716124,52.2036071268264,39.260940393186516
2024-10-29,428.0,433.17,425.8001,431.95,17644080,MSFT,423.331,272.3568,89.36493953711862,52.37830308078617,41.884412930706446
2024-10-30,437.435,438.5,432.1,432.53,29749149,MSFT,424.97200000000004,276.3418,89.2286479033174,51.96453719764031,43.90043778409323
2024-10-31,415.36,416.16,406.3,406.35,53970981,MSFT,423.93499999999995,279.71139999999997,84.2439790174982,48.95974014164125,44.912298255602835
2024-11-01,409.01,415.5,407.5,410.37,24230442,MSFT,423.15600000000006,283.35360000000003,86.65248501257012,46.368292418090505,45.20349708810037
2024-11-04,409.8,410.415,405.5713,408.46,19672286,MSFT,422.12399999999997,286.9232,87.31098986749807,43.657177621370295,44.89423319475436
2024-11-05,408.37,414.9,408.08,411.46,17626011,MSFT,420.51899999999995,290.6996,46.14621237181605,41.27488337754255,44.170363231311995
