,open,high,low,close,volume
2024-10-16,158.0750,158.2800,154.9159,156.1300,30575773
2024-10-17,160.0000,160.4400,156.2000,156.2500,29491853
2024-10-18,157.4100,158.0100,155.5600,155.9700,23822985
2024-10-21,155.7600,158.0000,154.1500,157.9000,25781212
2024-10-22,156.6000,156.7400,151.9100,154.0900,34997352
2024-10-23,153.0000,153.4450,150.5200,152.9100,26095933
2024-10-24,154.7400,155.1900,152.3500,153.4400,22877016
2024-10-25,155.4000,158.9100,155.0500,156.2300,29758489
2024-10-28,158.5000,160.2800,157.0450,159.9200,36010134
2024-10-29,161.1000,167.5099,158.9400,166.2500,71896038
2024-10-30,153.0100,153.1200,148.1000,148.6000,87701674
2024-10-31,147.8000,148.6800,143.3300,144.0700,44386597
2024-11-01,144.4400,144.5400,141.3200,141.8600,39027430
2024-11-04,141.7000,143.6400,139.7200,140.7100,29117421
2024-11-05,141.9400,143.0800,140.8000,141.6600,27067330
2024-11-06,144.9500,145.6250,141.5200,145.1000,32911499
2024-11-07,146.6800,150.1200,145.6600,149.8200,30326430
2024-11-08,149.3900,150.7100,147.5250,147.9500,27560342
2024-11-11,147.3800,148.5700,144.9100,147.3500,29868125
2024-11-12,147.0000,147.4500,141.5501,143.6300,33560287
2024-11-13,142.8600,144.4900,139.0700,139.3000,35146648
2024-11-14,140.3400,141.4000,138.5600,138.8400,31681410
2024-11-15,136.5750,137.3500,133.6500,134.9000,44217530
2024-11-18,138.1850,140.9000,137.2100,138.9300,38782434
2024-11-19,137.4100,139.7500,137.1400,139.3900,23131352
2024-11-20,138.9600,140.7700,135.4800,137.6000,28843065
2024-11-21,138.8700,140.2799,134.9300,137.4900,29311442
2024-11-22,137.3500,139.1300,137.0400,138.3500,21784728
2024-11-25,140.4900,142.3500,139.0500,141.1300,30923110
2024-11-26,142.5500,142.8000,136.6200,137.7200,32092378
2024-11-27,137.2000,137.9400,132.9600,136.2400,30175287
2024-11-29,136.2400,138.5900,135.7800,137.1800,16085714
2024-12-02,137.9150,142.8200,137.8000,142.0600,33102438
2024-12-03,142.5800,143.4495,141.0801,141.9800,22665348
2024-12-04,142.9600,144.1200,141.1800,143.9900,25942650
2024-12-05,143.6800,143.9500,140.3800,141.3600,29576925
2024-12-06,141.4800,142.7852,137.4000,138.5900,33576839
2024-12-09,135.7100,135.7700,130.0000,130.8700,57055558
2024-12-10,131.5600,131.5600,127.0700,127.7400,38907198
2024-12-11,128.5200,131.2100,126.2201,130.1500,45588138
2024-12-12,130.0000,132.3200,129.0700,130.6000,34267091
2024-12-13,131.3000,131.3000,124.7700,126.9100,67544738
2024-12-16,126.0100,127.7600,123.1200,126.6900,42090277
2024-12-17,124.4500,127.0800,123.1500,125.0200,43314939
2024-12-18,125.4300,127.7500,120.4300,121.4100,49724442
2024-12-19,122.1600,123.3800,118.4500,118.8800,46160667
2024-12-20,118.0000,121.8600,117.9000,119.2100,53591212
2024-12-23,120.7100,126.3387,120.4700,124.6000,47777898
2024-12-24,127.5100,127.5100,124.6600,126.2900,24829564
2024-12-26,125.5200,127.2999,125.0500,125.0600,25139138
2024-12-27,124.3700,126.1800,122.2600,125.1900,32924011
2024-12-30,123.5620,124.1000,122.3500,122.4400,30501637
2024-12-31,123.1000,123.5500,120.1380,120.7900,30203428
2025-01-02,122.2900,123.1400,119.4400,120.6300,34256182
2025-01-03,121.6500,125.5600,121.4200,125.3700,36785299
2025-01-06,129.0700,130.7300,127.3600,129.5500,48020190
2025-01-07,130.5100,131.7100,126.8537,127.3300,39220408
2025-01-08,124.5100,125.3000,120.1201,121.8400,46723136
2025-01-10,118.1800,118.7100,114.4501,116.0400,59415614
2025-01-13,115.2800,117.4800,114.4100,117.3200,39128897
2025-01-14,118.0000,118.6600,114.5000,116.0900,37005279
2025-01-15,117.5500,120.4200,117.4600,119.9600,38185819
2025-01-16,120.2400,121.0900,118.2500,118.4400,29414126
2025-01-17,120.7800,122.7400,120.5500,121.4600,35765924
