,open,high,low,close,volume
2024-10-16,187.0500,187.7800,185.6100,186.8900,23456812
2024-10-17,188.2200,188.9400,186.0000,187.5300,25039414
2024-10-18,187.1500,190.7400,186.2800,188.9900,37417670
2024-10-21,188.0500,189.4600,186.4000,189.0700,24639393
2024-10-22,188.3500,191.5201,186.9750,189.7000,29650593
2024-10-23,188.8500,189.1600,183.6900,184.7100,31937089
2024-10-24,185.2500,187.1100,183.8600,186.3800,21647395
2024-10-25,187.8500,190.4500,187.5300,187.8300,29362060
2024-10-28,189.5650,190.2100,188.2100,188.3900,27930836
2024-10-29,188.5800,191.4599,187.8150,190.8300,35690158
2024-10-30,194.6950,195.6100,192.4200,192.7300,37707550
2024-10-31,190.5100,190.6000,185.2300,186.4000,75146759
2024-11-01,199.0000,200.5000,197.0200,197.9300,99687847
2024-11-04,196.4500,197.3300,194.3101,195.7800,38492062
2024-11-05,196.0400,199.8200,195.9900,199.5000,30564784
2024-11-06,200.0100,207.5500,199.1400,207.0900,72292167
2024-11-07,207.4400,212.2500,207.1900,210.0500,52878383
2024-11-08,209.7200,209.9633,207.4400,208.1800,36075846
2024-11-11,208.5000,209.6500,205.5900,206.8400,35456012
2024-11-12,208.3700,209.5400,206.0100,208.9100,38942918
2024-11-13,209.4000,215.0900,209.1400,214.1000,46212943
2024-11-14,214.1600,215.9000,210.8800,211.4800,42620309
2024-11-15,206.7600,207.3400,199.6100,202.6100,86591144
2024-11-18,204.1500,204.6700,200.9500,201.7000,36512465
2024-11-19,199.3300,205.3000,198.7800,204.6100,31197867
2024-11-20,202.9800,203.1300,199.4500,202.8800,32768989
2024-11-21,203.4900,203.4900,195.7500,198.3800,58800042
2024-11-22,198.2500,199.2599,196.7500,197.1200,31530844
2024-11-25,199.2800,201.9499,199.0000,201.4500,40685672
2024-11-26,201.9000,208.0000,201.7900,207.8600,41673737
2024-11-27,206.9800,207.6400,205.0500,205.7400,28061638
2024-11-29,205.8300,208.2000,204.5900,207.8900,24892447
2024-12-02,209.9600,212.9900,209.5101,210.7100,39523185
2024-12-03,210.3100,214.0200,209.6500,213.4400,32214828
2024-12-04,215.9600,220.0000,215.7500,218.1600,48745716
2024-12-05,218.0300,222.1500,217.3000,220.5500,41140220
2024-12-06,220.7500,227.1500,220.6000,227.0300,44178069
2024-12-09,227.2100,230.0800,225.6700,226.0900,46819363
2024-12-10,226.0900,229.0600,224.2002,225.0400,31199864
2024-12-11,226.4100,231.2000,226.2600,230.2600,35385785
2024-12-12,229.8300,231.0900,227.6300,228.9700,28204084
2024-12-13,228.4000,230.2000,225.8608,227.4600,28768080
2024-12-16,230.2300,233.0000,228.0100,232.9300,37552096
2024-12-17,232.3900,232.7300,227.8500,231.1500,35948131
2024-12-18,230.7700,231.3999,220.1100,220.5200,43281443
2024-12-19,224.9100,226.0900,222.9200,223.2900,39918739
2024-12-20,219.8400,226.2100,218.7300,224.9200,88279184
2024-12-23,225.0100,226.8800,223.9000,225.0600,28070007
2024-12-24,226.9400,229.1400,226.1300,229.0500,15007497
2024-12-26,228.5000,228.5000,226.6706,227.0500,16174500
2024-12-27,225.6000,226.0300,220.9000,223.7500,27367147
2024-12-30,220.0600,222.9972,218.4300,221.3000,28321240
2024-12-31,222.9650,223.2299,218.9400,219.3900,24819655
2025-01-02,222.0300,225.1500,218.1900,220.2200,33956579
2025-01-03,222.5050,225.3600,221.6200,224.1900,27515606
2025-01-06,226.7800,228.8350,224.8400,227.6100,31849831
2025-01-07,227.9000,228.3810,221.4600,222.1100,28084164
2025-01-08,223.1850,223.5200,220.2000,222.1300,25033292
2025-01-10,221.4600,221.7100,216.5000,218.9400,36811525
2025-01-13,218.0600,219.4000,216.4700,218.4600,27262655
