,open,high,low,close,volume
2023-05-23,79.1000,79.5050,78.7400,79.1300,5284064
2023-05-24,79.0500,79.3900,77.7700,77.8100,5347904
2023-05-25,77.5800,77.5900,76.7600,77.1400,6823502
2023-05-26,77.3500,78.7900,77.0200,78.6600,5244930
2023-05-30,79.0000,80.2700,78.8900,80.0200,8190961
2023-05-31,80.1000,80.8100,79.6800,80.2000,9215804
2023-06-01,80.2500,81.2200,80.0000,80.2000,8707764
2023-06-02,80.2400,80.6300,79.8300,80.5000,5896200
2023-06-05,80.8500,81.1500,80.6000,80.8400,4068229
2023-06-06,81.0000,81.0500,80.4600,80.8800,4725238
2023-06-07,80.8800,80.9500,79.5300,80.5000,5516713
2023-06-08,80.5100,80.7600,79.8800,80.0200,4440010
2023-06-09,79.9800,80.6900,79.9600,80.3800,5824472
2023-06-12,80.3800,80.4000,79.7000,79.7700,7946477
2023-06-13,80.2000,81.4500,79.8700,80.7000,8293012
2023-06-14,81.2660,81.7700,80.9500,81.2300,7949060
2023-06-15,81.4200,81.5850,80.5800,81.4500,7096741
2023-06-16,81.3500,82.2200,80.9400,81.9700,12236556
2023-06-20,81.6900,81.9900,81.5500,81.8900,5247181
2023-06-21,81.6500,81.8400,80.8300,80.9400,5277455
2023-06-22,80.4800,82.3200,80.3000,82.3000,4880493
2023-06-23,82.0400,82.4000,81.6200,81.9000,6735423
2023-06-26,82.2500,83.7100,82.1200,83.4000,7870633
2023-06-27,83.2500,84.6200,83.2200,84.1300,6812466
2023-06-28,84.5000,84.6300,83.4800,83.6000,6878284
2023-06-29,83.0900,85.0050,82.3900,83.0800,8478309
2023-06-30,83.5000,84.7200,83.5000,84.3000,6881230
2023-07-03,83.9200,84.2000,83.1800,83.3400,4150274
2023-07-05,82.9700,83.4150,82.0938,82.8700,5180338
2023-07-06,82.4000,82.9200,81.9900,82.7000,4076263
2023-07-07,82.7800,83.3100,82.2200,82.4300,4819435
2023-07-10,82.7600,83.2300,82.6200,82.7000,7139139
2023-07-11,82.5600,92.9100,82.5500,90.9900,77867479
2023-07-12,90.0450,90.7100,89.0503,90.0000,28102858
2023-07-13,90.0000,90.7000,89.4400,89.5400,22036053
2023-07-14,91.1000,91.5000,89.7400,90.0700,63825300
2023-07-17,93.5350,93.6700,92.1200,93.2100,40278491
2023-07-18,92.5300,93.0100,92.2100,92.7400,21791663
2023-07-19,92.6250,92.7500,91.7800,92.2000,40003048
2023-07-20,92.1000,92.5600,92.0900,92.2900,14757431
2023-07-21,92.3450,92.4000,91.8900,91.9100,12930628
2023-07-24,91.9300,92.6000,91.8500,92.5500,7875598
2023-07-25,92.5000,92.8600,92.4600,92.7300,6541548
2023-07-26,92.6600,92.9200,92.4750,92.6700,8385810
2023-07-27,92.6700,92.7900,92.1400,92.1400,9448799
2023-07-28,92.3500,92.6900,92.3400,92.5300,5644772
2023-07-31,92.5600,92.7800,92.4300,92.7600,10765318
2023-08-01,91.7950,92.1300,91.7000,91.8900,8396903
2023-08-02,91.6400,91.9050,91.5200,91.6300,7369575
2023-08-03,91.5500,92.0000,91.5000,91.6800,7500852
2023-08-04,91.6800,91.8200,91.5400,91.5800,6035555
2023-08-07,91.7900,91.8500,91.5200,91.5700,4978812
2023-08-08,91.5700,91.7900,91.5200,91.5900,5600499
2023-08-09,91.5900,92.0000,91.4200,91.4400,7611636
2023-08-10,91.6700,91.6700,91.2700,91.4200,4863415
2023-08-11,91.3000,91.3100,90.9300,91.2100,6911124
2023-08-14,91.1000,91.2000,90.7550,90.7900,6123526
2023-08-15,91.0000,91.1000,90.7700,90.9100,5474375
2023-08-16,91.0000,91.2500,90.8500,90.8500,4350162
2023-08-17,91.0000,91.0200,90.4000,90.4300,9073907
2023-08-18,90.5000,91.0000,90.2950,90.4700,13085837
2023-08-21,90.7700,90.9700,90.6550,90.7200,4637744
2023-08-22,91.9700,92.1000,91.4700,91.6600,11099550
2023-08-23,91.5500,91.8300,91.4100,91.7400,5520120
2023-08-24,91.6300,91.9600,91.4000,91.4100,6053152
2023-08-25,91.4100,91.8300,91.3800,91.6600,4361699
2023-08-28,91.8100,92.0100,91.7450,91.7700,5527191
2023-08-29,91.7500,92.1000,91.7500,91.9800,5667901
2023-08-30,91.8800,92.0400,91.7500,91.9800,5359668
2023-08-31,91.8800,92.0550,91.8650,91.9900,6676488
2023-09-01,92.0500,92.2000,91.9500,92.0400,4609003
2023-09-05,91.9500,92.1850,91.9000,92.0300,5177656
2023-09-06,92.0400,92.1100,91.9900,92.0700,4778604
2023-09-07,92.1500,92.1500,91.9900,92.0100,3755639
2023-09-08,92.1000,92.2400,92.0100,92.1200,5367720
2023-09-11,92.1200,92.4400,92.1100,92.1800,5161559
2023-09-12,92.0600,92.3300,92.0300,92.1300,3132920
2023-09-13,92.2200,92.4700,92.1500,92.2700,4448676
2023-09-14,92.3200,92.4650,92.1500,92.2200,6842729
2023-09-15,92.1600,92.3300,91.7300,91.8200,13510743
2023-09-18,92.0400,92.0500,91.8200,91.9100,5571871
2023-09-19,91.9200,92.2100,91.9000,92.0700,4592315
2023-09-20,92.4100,92.6100,92.3000,92.5600,7557973
2023-09-21,92.4100,92.5700,92.2850,92.3500,6027933
2023-09-22,94.0600,94.1100,93.8600,93.9200,19817485
2023-09-25,93.9200,94.0800,93.9200,94.0500,7858728
2023-09-26,94.0000,94.2100,94.0000,94.0000,7245004
2023-09-27,94.0000,94.1000,93.7100,93.9200,9299247
2023-09-28,93.9000,93.9800,93.3800,93.5400,10839432
2023-09-29,93.6000,93.8850,93.4500,93.6300,8616805
2023-10-02,93.6800,93.9400,93.6000,93.9400,6633315
2023-10-03,93.8100,93.9900,93.7600,93.8900,4889903
2023-10-04,93.8700,94.0350,93.6300,93.7500,6948834
2023-10-05,93.8500,93.9350,93.6500,93.6700,4270293
2023-10-06,94.0000,94.2600,93.9400,94.2400,8134220
2023-10-09,94.1700,94.4450,94.1700,94.3400,4694231
2023-10-10,94.3800,94.4900,94.1800,94.3400,5135937
2023-10-11,94.3000,94.5700,94.1050,94.4700,13234561
2023-10-12,94.4800,94.5400,94.3050,94.4200,7323451
2023-10-13,94.4200,94.4200,94.4200,94.4200,1
