,open,high,low,close,volume
2024-10-16,151.9100,154.9900,151.3400,154.9000,8356210
2024-10-17,155.0000,157.1400,154.2500,155.3100,6291759
2024-10-18,155.8400,156.3700,153.9000,155.0000,6030173
2024-10-21,160.2500,163.4400,158.3600,159.8200,13277553
2024-10-22,160.5000,160.6600,158.3700,159.8800,7380826
2024-10-23,160.0000,161.4725,153.5300,157.0600,15931493
2024-10-24,152.6100,155.8900,151.9800,155.2000,9774355
2024-10-25,156.2000,157.4800,154.5202,155.0100,8152969
2024-10-28,153.5000,155.2000,150.6100,150.6900,20992479
2024-10-29,147.8600,155.9900,147.5800,152.9800,66387677
2024-10-30,152.5100,156.9100,152.5100,154.2900,50738362
2024-10-31,154.3100,154.4800,147.8800,149.3100,29388204
2024-11-01,152.7800,156.0000,151.2300,154.5900,18894509
2024-11-04,154.6200,156.7200,152.4600,155.0700,10290387
2024-11-05,157.4700,157.6600,150.6500,151.0000,23126635
2024-11-06,152.3000,153.2000,144.1300,147.1600,28069287
2024-11-07,148.8000,152.8000,148.0300,150.9800,14709235
2024-11-08,151.1200,152.6000,149.4300,151.6800,12996805
2024-11-11,152.0000,152.5000,148.0700,148.9600,12799077
2024-11-12,148.4000,148.5000,143.8500,145.1700,16746650
2024-11-13,145.5800,145.5800,139.1000,139.9700,21249600
2024-11-14,140.8000,141.5500,137.2200,138.1400,15646710
2024-11-15,138.1400,140.3247,137.0300,140.1900,12120095
2024-11-18,140.2550,144.6900,138.2000,143.8700,12259932
2024-11-19,143.0000,145.9900,142.6901,145.6000,8247289
2024-11-20,146.0400,147.3000,145.0201,146.0800,9232114
2024-11-21,146.3900,146.4200,141.3400,143.4100,7845135
2024-11-22,143.6100,150.3390,143.4900,149.2900,13353083
2024-11-25,150.7000,153.2800,150.2600,153.1000,11479406
2024-11-26,152.5000,153.1398,149.8000,150.7600,8234985
2024-11-27,151.1100,152.9100,150.2500,152.4000,5210147
2024-11-29,153.0000,157.5000,152.8500,155.4400,7100090
2024-12-02,155.9100,160.3500,155.7000,156.5400,10097911
2024-12-03,156.0000,156.6486,154.4200,155.0000,6130313
2024-12-04,155.8800,160.2000,154.2100,158.2800,9269316
2024-12-05,158.5000,160.0200,156.0475,156.6700,7119832
2024-12-06,157.0300,158.9533,153.3700,153.9300,8182668
2024-12-09,154.2700,161.9500,154.2700,157.0400,13540021
2024-12-10,160.0000,166.6800,159.4200,164.1000,17149192
2024-12-11,165.5200,169.3000,164.3810,165.9600,13116634
2024-12-12,168.2300,168.8200,165.6501,167.7500,10617736
2024-12-13,168.0000,170.4300,166.3300,169.6500,9754901
2024-12-16,168.0900,175.2000,166.1000,173.1700,13050714
2024-12-17,173.0400,175.7866,171.7100,173.0300,13557076
2024-12-18,173.2800,177.9400,171.0020,172.6200,15437178
2024-12-19,175.0000,179.5788,173.7200,177.0400,14777065
2024-12-20,176.8600,182.0000,175.3100,177.3500,23233668
