,open,high,low,close,volume
2024-10-16,697414.7500,699413.0000,693924.7050,699413.0000,1198
2024-10-17,701663.7250,701857.6400,696938.9950,697640.0100,1295
2024-10-18,699482.7650,700669.6750,695104.8812,698500.0000,1274
2024-10-21,697639.3100,698634.3900,692965.6500,697999.9900,1756
2024-10-22,696198.5150,698064.9600,687457.4300,692600.0000,1394
2024-10-23,691262.3600,695422.0000,688500.0000,691220.0000,1064
2024-10-24,691844.9150,692021.2400,682016.0000,687000.0000,1558
2024-10-25,687548.3012,689299.0000,680300.0000,681999.0000,1785
2024-10-28,683582.7700,688839.4900,681851.0000,688354.0000,1780
2024-10-29,687947.7250,688344.9950,682100.0000,682920.0000,1737
2024-10-30,682960.0300,686686.0000,681394.7000,682600.1000,1192
2024-10-31,682525.0050,685500.0000,676127.5500,676959.5000,1265
2024-11-01,678392.6450,682986.0000,676270.9012,678000.0000,1274
2024-11-04,676449.5000,676678.2750,657497.5000,664750.0000,2990
2024-11-05,664639.7650,667521.5800,661970.0100,666684.0000,1653
2024-11-06,688739.1300,703418.8850,685516.2012,703000.0000,2877
2024-11-07,702299.0900,704053.0050,688252.0000,688252.0000,2570
2024-11-08,692712.0300,699413.5000,689582.0700,695878.3000,1671
2024-11-11,699169.9700,705634.1100,696758.9900,700224.0100,2902
2024-11-12,702637.2700,702637.2700,698000.0000,700700.0000,1716
2024-11-13,701027.1450,702394.6650,696500.0000,702250.0000,1739
2024-11-14,702949.9900,703780.0000,698839.0412,700599.8800,1433
2024-11-15,698399.4350,707990.5100,697078.4800,705999.0000,1780
2024-11-18,705422.5000,708868.4150,702700.0000,708000.0000,2262
2024-11-19,706008.4850,706645.4950,697814.6200,703960.0000,1688
2024-11-20,704051.0000,705407.5000,699264.2500,703299.9900,1309
2024-11-21,704176.1500,711778.0000,699578.0500,707250.0000,1509
2024-11-22,708183.5650,715957.5000,705000.1000,714280.0000,1527
2024-11-25,718596.3050,723473.1550,715372.5000,716399.0000,2430
2024-11-26,716453.2700,719158.5200,709599.0000,718520.0000,1404
2024-11-27,720776.2800,737300.7600,720052.5612,723549.0000,1625
2024-11-29,730091.0000,730097.0000,723050.0000,724040.0000,1303
2024-12-02,725911.0000,727000.0000,712203.5000,715880.0000,3168
2024-12-03,716738.5000,717722.0700,703354.9950,705658.9900,2311
