,open,high,low,close,volume
2024-10-16,55.0000,56.4100,54.8300,56.3800,32382277
2024-10-17,56.3750,56.5750,55.8500,56.4000,18383351
2024-10-18,56.4100,56.8700,56.2100,56.7600,17679841
2024-10-21,56.6900,57.0550,56.5100,56.5900,14083608
2024-10-22,56.0000,56.9000,55.8600,56.6000,14956301
2024-10-23,56.1600,56.5900,55.9900,56.2800,18722973
2024-10-24,56.3750,56.5500,55.8100,55.9600,14699588
2024-10-25,56.2500,56.6253,55.6656,55.7400,14680466
2024-10-28,55.9000,55.9800,55.2100,55.2800,12912311
2024-10-29,55.3700,56.1050,55.2700,55.6800,18810078
2024-10-30,55.5700,56.0400,55.3700,55.5900,13284261
2024-10-31,55.4300,55.5100,54.7050,54.7700,22023370
2024-11-01,54.7400,55.8100,54.5300,55.5000,19235612
2024-11-04,55.4500,55.9100,55.1200,55.8300,13269890
2024-11-05,55.9000,56.2700,55.5000,56.1600,10183605
2024-11-06,57.1890,58.0850,56.9550,57.8700,20506037
2024-11-07,57.8000,58.3000,57.5400,58.0800,17880234
2024-11-08,58.0900,58.1999,57.6550,58.0600,17517686
2024-11-11,59.0000,59.3800,58.3600,58.6300,17826977
2024-11-12,58.7600,59.0350,58.4300,58.7100,16609357
2024-11-13,58.1500,59.2800,57.8400,59.1800,36350607
2024-11-14,58.9900,58.9900,57.5200,57.9200,33747654
2024-11-15,57.4500,58.1000,57.2300,57.4600,28173705
2024-11-18,57.5500,57.9900,57.2300,57.3100,23770462
2024-11-19,56.6800,57.0400,56.3500,57.0100,17476186
2024-11-20,56.8400,57.5000,56.6100,57.5000,15344952
2024-11-21,57.2900,57.9300,57.1000,57.5600,16162444
2024-11-22,57.5900,58.7000,57.4550,58.5500,14952324
2024-11-25,58.6500,58.9600,58.2600,58.7400,52408187
2024-11-26,59.0000,59.6400,58.9400,59.5900,14209693
2024-11-27,59.6100,59.8700,58.9300,59.2900,12703322
2024-11-29,59.0700,59.5900,59.0400,59.2100,11618360
2024-12-02,59.2500,59.7000,59.1400,59.4300,15977739
2024-12-03,59.4300,59.5250,59.1650,59.4800,11746006
2024-12-04,59.6400,59.8400,59.2650,59.6200,16872103
2024-12-05,59.7900,60.2300,59.7000,60.0200,19121697
2024-12-06,60.0000,60.0800,59.7650,59.8900,14623064
2024-12-09,59.8300,59.8800,58.8600,58.9500,16517459
2024-12-10,58.5000,58.8600,58.1300,58.7200,14480185
2024-12-11,58.8800,58.9600,58.3100,58.5900,26842940
2024-12-12,58.6900,59.7400,58.6250,58.8500,17704609
2024-12-13,58.6200,58.9350,58.3800,58.6200,14129777
2024-12-16,58.4700,58.4900,57.8450,58.3500,26883236
2024-12-17,58.3800,59.0700,58.1700,58.5200,24912522
2024-12-18,58.7100,58.7100,57.4800,57.5300,24195146
2024-12-19,57.3900,58.1400,57.3400,57.6300,21947824
2024-12-20,57.5680,58.7800,57.2700,58.5200,69544629
2024-12-23,58.1300,59.0150,58.1200,58.9800,18671217
2024-12-24,58.8000,59.8500,58.8000,59.8500,9922346
2024-12-26,59.6200,60.0550,59.4000,59.9800,8526942
2024-12-27,59.5700,60.0200,59.1350,59.6100,13021411
2024-12-30,59.0900,59.3900,58.4100,59.1900,12948052
2024-12-31,59.2200,59.3750,58.7650,59.2000,14173022
2025-01-02,59.2700,59.6800,58.5700,59.1000,16144281
2025-01-03,58.8400,59.1700,58.3600,58.8600,18859541
2025-01-06,58.9100,59.5800,58.5850,58.7700,18543298
2025-01-07,58.9700,59.2450,58.6450,58.9300,16863781
2025-01-08,58.8900,59.2400,58.2700,59.2000,14400335
2025-01-10,58.7900,59.0600,58.5400,58.7400,17274459
2025-01-13,58.9200,58.9300,58.1700,58.7600,19340695
2025-01-14,58.9700,59.3400,58.7500,59.3300,16715456
2025-01-15,59.8551,60.3400,59.5925,59.9800,19185137
2025-01-16,60.1800,60.4451,59.7800,59.8200,18445709
2025-01-17,60.7600,60.9500,60.2000,60.2300,23876379
2025-01-21,60.4700,61.3300,60.2800,61.0300,18623768
2025-01-22,61.0400,61.7550,60.9900,61.6300,19436629
2025-01-23,61.8000,62.3150,61.3801,62.2300,14212046
2025-01-24,62.0600,62.2899,61.8600,62.2300,17232945
2025-01-27,61.3900,61.4600,58.7600,59.0800,33730340
2025-01-28,59.0200,59.5600,58.9200,59.4300,25473316
