,open,high,low,close,volume
2024-10-16,148.3500,149.0312,148.2100,148.7300,4303737
2024-10-17,149.2600,151.3300,148.9700,151.2000,6593136
2024-10-18,150.8150,151.0800,149.3750,150.7500,5208202
2024-10-21,152.0000,152.4800,150.4900,150.8800,5073999
2024-10-22,151.2500,151.6800,150.2200,150.9200,4416409
2024-10-23,150.3600,151.0000,149.2909,150.4800,5248853
2024-10-24,151.1300,151.4500,149.3800,150.4500,5474258
2024-10-25,151.3900,152.1200,150.4600,150.8100,6839894
2024-10-28,148.2500,150.7000,148.1600,150.5400,8892039
2024-10-29,150.0400,150.4150,147.8700,148.5200,6014676
2024-10-30,149.0800,149.6500,147.6600,148.0500,5784011
2024-10-31,148.7550,149.5700,147.8900,148.8200,8400855
2024-11-01,152.4800,155.9303,151.7000,153.0700,11727977
2024-11-04,154.4200,154.4200,152.6199,153.9700,6129961
2024-11-05,154.5300,154.6700,152.5500,153.4100,5978897
2024-11-06,157.1000,158.6100,156.1200,157.7200,12118908
2024-11-07,157.9400,158.0100,156.4000,156.7700,8143245
2024-11-08,156.6000,157.5800,155.6700,156.9300,6041457
2024-11-11,157.1400,157.9400,155.9000,156.5000,7771691
2024-11-12,157.3000,157.4700,155.1200,155.2900,5681869
2024-11-13,156.0700,159.0200,154.5300,158.7200,8824013
2024-11-14,159.8400,161.8300,159.6800,161.8000,10111234
2024-11-15,161.5200,162.3800,160.7600,161.4200,9022753
2024-11-18,160.5600,161.5200,159.0700,160.7600,6092141
2024-11-19,159.9800,160.4272,158.7510,159.6000,4657409
2024-11-20,159.9100,161.4400,159.7800,161.3300,6391252
2024-11-21,162.0200,162.6500,161.2900,161.6300,7945531
2024-11-22,161.5100,162.6100,161.1500,162.3600,7006293
2024-11-25,162.1500,163.1700,159.8300,160.3600,10702395
2024-11-26,162.3100,162.9400,161.4000,162.5300,7369944
2024-11-27,162.7600,164.6800,161.6100,162.1100,7674474
2024-11-29,162.2500,162.7500,160.6600,161.9300,5076953
2024-12-02,162.2900,162.9500,160.1100,162.2100,6229596
2024-12-03,162.9800,163.1970,161.3900,161.9200,5900066
2024-12-04,161.8300,161.8400,157.8600,158.3200,7862728
2024-12-05,159.2900,160.6700,158.6900,159.3300,6358358
2024-12-06,158.7500,158.8300,155.1700,155.2400,9701694
2024-12-09,157.0000,160.0800,156.8200,157.0800,9404473
2024-12-10,159.0600,159.5200,156.7000,157.0000,9126158
2024-12-11,156.8600,157.1700,155.8000,156.2100,13764742
2024-12-12,155.8700,156.5250,154.2653,154.7100,7621522
2024-12-13,154.8700,154.9610,153.0700,153.8700,5816180
2024-12-16,153.8900,153.8900,149.2500,149.3600,11961219
2024-12-17,148.0000,148.6500,146.9100,148.1100,11909333
2024-12-18,147.7600,148.6700,143.9800,144.0800,10174494
2024-12-19,144.5700,144.7600,140.9500,141.1500,16544329
2024-12-20,140.8250,142.8500,140.5500,142.8500,32209195
2024-12-23,142.4800,143.3450,141.5400,142.9700,8156466
2024-12-24,143.1000,144.0450,142.2600,143.8400,3556081
2024-12-26,143.6700,144.3100,142.9000,143.9800,4494424
2024-12-27,144.2900,145.7100,143.3900,144.0000,5296875
2024-12-30,143.7900,143.9800,142.3500,143.0700,6194835
2024-12-31,143.5200,145.3400,143.3200,144.8400,6137843
2025-01-02,145.4750,148.0700,145.4750,146.7100,7170257
2025-01-03,147.5400,148.5000,147.3000,147.8500,5813935
2025-01-06,148.4000,150.3300,146.8700,147.2600,5888731
2025-01-07,148.5050,150.4999,147.6300,149.5900,7735997
2025-01-08,148.0400,151.1800,148.0300,150.3000,7640885
2025-01-10,153.4100,154.3400,150.8700,153.1400,11074716
2025-01-13,154.1000,157.3500,154.0000,155.3500,11774073
2025-01-14,155.2050,156.9100,154.4600,156.9000,6830219
2025-01-15,156.8750,158.6900,156.3800,158.3300,7899997
2025-01-16,158.0300,159.8950,158.0300,159.3800,5578902
2025-01-17,159.1300,161.7700,158.7978,161.4700,9260428
2025-01-21,161.1500,161.4000,157.4900,158.2400,10131372
2025-01-22,157.6800,158.4400,156.2700,156.4100,7232227
2025-01-23,157.6300,157.9400,155.6200,156.0100,5979808
2025-01-24,156.4600,157.4700,155.2701,155.6500,8003778
2025-01-27,156.3300,157.8899,155.5200,157.2300,7140991
2025-01-28,157.7100,158.9200,155.1838,156.2100,6425353
2025-01-29,155.7150,156.5800,154.8100,155.6900,5630563
2025-01-30,156.5600,157.4500,155.5200,156.3200,6931918
2025-01-31,153.7600,154.3700,148.6500,149.1900,16731592
2025-02-03,149.0000,150.8600,147.8000,149.3400,7604961
2025-02-04,148.7200,153.3850,148.7200,153.2200,8458070
2025-02-05,152.9900,153.8000,152.2900,152.9900,6533680
2025-02-06,154.2200,155.2550,151.0600,151.9000,6420525
2025-02-07,152.4800,153.8100,151.9243,152.6200,4724947
2025-02-10,154.2900,155.8000,154.0600,155.7700,5653770
2025-02-11,156.3500,158.7100,156.1200,157.4400,6011842
2025-02-12,156.7500,157.4650,154.5716,154.9000,6693461
2025-02-13,154.7800,156.4200,153.3200,155.8800,7836362
2025-02-14,155.0800,157.4500,154.8800,155.3400,5828805
2025-02-18,155.3400,157.3100,154.7800,156.1600,5981480
2025-02-19,156.5200,158.3600,156.0000,157.2300,4945813
2025-02-20,157.5000,158.9500,157.0700,158.7900,6256154
2025-02-21,158.1300,158.9500,156.8200,156.9200,6689815
2025-02-24,157.0850,158.3300,156.7500,157.8900,5925047
2025-02-25,157.9900,158.9900,155.4600,156.4200,6811293
2025-02-26,156.6200,156.6900,154.4000,155.1400,6005232
2025-02-27,155.6900,158.2900,154.8100,156.6700,7517237
2025-02-28,156.6950,158.6700,154.9200,158.6200,8828547
2025-03-03,159.4600,160.0900,151.7600,153.0900,9059814
2025-03-04,151.2050,154.1525,150.0500,152.0000,8826344
2025-03-05,150.1500,151.3650,147.7400,150.8100,9288538
2025-03-06,150.5100,153.3300,149.4700,152.9500,7314687
2025-03-07,153.9500,157.4500,153.7100,156.3400,8562635
2025-03-10,157.1900,160.3700,156.1700,157.5700,11729059
2025-03-11,158.4300,158.8400,153.7900,154.0800,10466294
2025-03-12,153.6400,154.7900,152.2150,152.6700,9710223
