,open,high,low,close,volume
2024-10-16,530.0000,536.2200,525.9750,529.8600,2649018
2024-10-17,531.2400,535.2900,528.2300,529.0000,2123514
2024-10-18,529.3900,530.7650,526.8700,528.5000,1779315
2024-10-21,528.0000,529.8500,517.0000,517.8000,1752085
2024-10-22,515.6100,519.6300,512.9400,518.3000,1587978
2024-10-23,515.8000,520.0000,513.4000,517.2000,1263151
2024-10-24,519.0000,525.0000,518.2001,524.5000,2058176
2024-10-25,528.0500,528.8000,510.7400,512.6000,1633203
2024-10-28,515.4000,524.5900,514.9750,523.5800,1687386
2024-10-29,521.1800,527.2400,521.0000,524.2800,1281786
2024-10-30,523.4000,530.7850,523.0700,524.4000,1441947
2024-10-31,522.4400,525.0000,514.5301,517.7900,2061658
2024-11-01,520.0000,526.6400,517.0400,519.3500,1625284
2024-11-04,518.0000,518.0500,510.5100,511.4700,1798045
2024-11-05,513.0000,527.4600,512.6000,526.9600,2169936
2024-11-06,567.3000,598.6050,566.1000,595.9800,8042841
2024-11-07,590.0000,595.0000,581.5232,582.1700,4475600
2024-11-08,586.4200,595.1500,581.3000,589.2600,2713956
2024-11-11,598.9000,607.1500,596.1650,602.3400,2510802
2024-11-12,598.0500,602.0900,591.4700,592.5900,2392850
2024-11-13,594.6300,603.5499,592.6500,594.2200,1763195
2024-11-14,600.0000,601.5300,586.2400,588.6100,1670468
2024-11-15,593.3600,595.1400,587.0900,593.5400,2007812
2024-11-18,594.7100,595.0700,584.7150,587.9900,1857601
2024-11-19,579.6600,584.7637,575.5100,581.3800,2217724
2024-11-20,583.8300,587.8000,576.6200,581.9300,1528869
2024-11-21,586.5100,600.7000,584.5100,596.1100,2282297
2024-11-22,596.2200,603.9400,594.4400,602.7800,1733996
2024-11-25,608.7900,611.3000,598.8300,603.0300,2940763
2024-11-26,600.1300,607.1900,593.0000,605.5000,2846937
2024-11-27,607.6800,612.2500,603.2750,605.4300,1424558
2024-11-29,609.3100,612.7300,607.0600,608.5700,1170180
2024-12-02,608.0000,611.9100,601.3000,601.7100,1804365
2024-12-03,608.9600,611.4200,600.8000,602.0800,1718093
2024-12-04,603.0000,604.2770,596.7600,598.7100,1617529
2024-12-05,600.5300,606.5600,596.3500,596.8000,1672772
2024-12-06,597.1600,600.0000,594.3700,599.6800,1405677
2024-12-09,598.9900,602.9999,593.7200,594.1200,1633266
2024-12-10,590.0000,596.2700,583.7600,585.0300,2600805
2024-12-11,590.1200,593.7100,586.9000,592.5600,2195314
2024-12-12,592.5900,596.3202,588.6100,591.6100,1218538
2024-12-13,594.0000,595.0000,585.0800,585.4800,1215371
2024-12-16,588.0000,588.2700,578.7000,586.3300,1713320
2024-12-17,580.8400,581.6100,572.2922,574.6800,2314490
2024-12-18,577.4900,579.4679,544.4900,550.2500,3271563
2024-12-19,561.4400,567.0000,553.6000,553.9900,2755784
2024-12-20,554.9400,572.9000,553.3800,566.1000,4515921
2024-12-23,565.0000,571.6400,561.8000,570.7800,1519949
2024-12-24,574.2000,582.7900,571.3600,582.7900,913403
2024-12-26,578.1500,582.5900,577.5000,581.2300,1092220
2024-12-27,577.0000,581.9599,571.3500,576.1800,1486184
2024-12-30,567.2700,576.0199,565.1000,573.5500,1265884
2024-12-31,575.0700,576.9200,570.3950,572.6200,1055809
2025-01-02,579.3100,584.3100,569.7400,574.9700,2219170
2025-01-03,581.0000,582.1400,571.7301,580.1300,1422989
2025-01-06,584.9800,593.6500,579.8150,583.3900,2257017
2025-01-07,587.1100,588.2800,568.4000,580.1200,2021921
2025-01-08,581.0400,581.1975,572.6700,580.0200,1513364
2025-01-10,576.2500,576.2500,558.0100,560.0000,2817887
2025-01-13,557.8800,566.1934,556.7600,562.9500,1871155
2025-01-14,569.6600,573.5900,565.2000,571.5300,2221922
2025-01-15,598.0000,609.4100,593.0000,605.9200,5119840
2025-01-16,609.9900,616.8400,606.0000,612.9900,3224496
2025-01-17,617.8000,627.0000,613.0000,625.9400,3425198
2025-01-21,616.8100,635.4300,609.0000,634.7400,5076701
2025-01-22,633.4400,635.6000,629.7073,632.7300,2835655
2025-01-23,634.9200,645.5381,634.4922,639.5000,2582717
2025-01-24,630.0000,640.6000,628.9599,636.9000,3183456
2025-01-27,625.0000,635.7050,624.4600,633.2800,3351650
2025-01-28,632.2000,639.0800,631.8100,637.8000,2338364
2025-01-29,637.0000,649.0000,636.4100,637.3800,1918882
2025-01-30,644.4900,649.5200,641.0000,645.7000,1812825
2025-01-31,650.0000,650.0000,637.4400,640.4000,1996221
2025-02-03,626.0000,638.4800,622.4800,632.3700,2102578
2025-02-04,632.0000,637.6650,629.0900,634.1800,1743840
2025-02-05,638.0000,646.4094,635.5300,645.4500,1908212
2025-02-06,650.0000,658.8500,648.9401,658.2200,2439237
2025-02-07,659.4000,663.8700,653.1600,655.9000,2616865
2025-02-10,659.0200,662.4900,644.2500,650.5300,2351792
2025-02-11,646.7800,649.0350,643.5990,647.2400,2711608
2025-02-12,643.7600,650.4700,639.1050,649.0000,2295969
2025-02-13,651.8300,652.0000,640.5101,648.9500,2031807
2025-02-14,650.3200,663.2599,650.3200,660.5500,2246279
2025-02-18,662.5900,672.1900,661.0200,672.1900,2350419
2025-02-19,669.0800,671.0400,663.2800,668.1500,1953895
2025-02-20,668.0300,670.2800,631.6550,642.2600,3929024
2025-02-21,644.7500,647.5000,623.4350,625.6000,3000779
2025-02-24,633.5100,637.3000,614.8000,626.1400,3274124
2025-02-25,628.5300,631.3200,606.0000,614.9100,2885947
2025-02-26,616.6700,623.1330,615.2000,617.7700,2001201
2025-02-27,617.5400,625.2300,607.3100,608.0000,2396289
2025-02-28,607.7900,623.6500,604.0100,622.2900,3337195
2025-03-03,622.4000,628.7834,598.3210,605.2600,3152334
2025-03-04,595.9800,600.0000,567.5701,581.1400,4061006
2025-03-05,582.0900,597.1200,576.7800,593.0700,2600616
2025-03-06,580.5900,586.7100,564.6200,567.6700,4332338
2025-03-07,568.1700,568.1700,544.9100,559.6700,4069949
2025-03-10,542.3000,546.4700,523.1300,531.6600,5211055
2025-03-11,532.4700,539.9900,524.2000,531.4300,4190502
2025-03-12,544.0000,545.0000,528.5900,535.7100,3078055
