,open,high,low,close,volume
2024-10-16,22.3800,22.5400,21.7400,22.3100,62151767
2024-10-17,22.7200,22.8200,22.4000,22.4400,43807577
2024-10-18,22.6100,22.8200,22.5000,22.7700,39971695
2024-10-21,22.6100,22.8800,22.2500,22.8400,39726985
2024-10-22,22.7300,22.8200,22.1700,22.4000,50160378
2024-10-23,22.3000,22.4250,21.5750,21.9800,45799051
2024-10-24,22.0900,22.3650,21.9700,22.3400,40554417
2024-10-25,22.4200,23.3399,22.4100,22.6800,67502984
2024-10-28,22.6700,23.2700,22.5600,22.9200,41914966
2024-10-29,22.8700,23.1400,22.4100,22.9000,83422242
2024-10-30,22.4150,22.9300,22.2600,22.3000,50941231
2024-10-31,22.1500,22.2500,21.4700,21.5200,112485547
2024-11-01,23.0000,23.5800,21.9100,23.2000,173471115
2024-11-04,22.9600,23.0000,22.0000,22.5200,84616300
2024-11-05,22.5800,23.5800,22.4000,23.3200,59153326
2024-11-06,24.3000,25.1200,24.0500,25.0500,116760537
2024-11-07,25.4300,26.3799,25.1900,26.2300,101489302
2024-11-08,26.0000,26.4300,25.8300,26.2000,76427983
2024-11-11,25.9600,26.2863,24.8300,25.0500,80185321
2024-11-12,24.6600,24.9600,23.8900,24.1600,62539733
2024-11-13,24.0600,25.1400,24.0200,24.9200,58201972
2024-11-14,25.1200,25.6100,24.9346,25.0300,49252121
2024-11-15,24.8100,24.8200,24.2300,24.3500,55104875
2024-11-18,24.3300,25.0200,24.1600,24.8400,59667333
2024-11-19,24.5000,24.5400,24.0950,24.2000,61190859
2024-11-20,24.0700,24.2100,23.5500,24.0100,50191510
2024-11-21,24.0800,24.7700,23.8300,24.4400,58928410
2024-11-22,24.3500,24.6800,24.1400,24.5000,36784715
2024-11-25,25.0400,25.5650,24.7600,24.8700,91128387
2024-11-26,24.9500,24.9850,23.8100,24.0500,69613557
2024-11-27,23.8300,23.9300,23.0600,23.6500,53992319
2024-11-29,23.7200,24.2800,23.6000,24.0500,36616750
2024-12-02,24.8400,25.4800,23.4400,23.9300,150497884
2024-12-03,23.6800,23.7500,22.4400,22.4700,138160493
2024-12-04,22.5300,22.5400,21.8100,21.9600,104648976
2024-12-05,22.0400,22.1900,20.6600,20.8000,167993483
2024-12-06,20.9500,21.0500,20.6600,20.9200,78539132
2024-12-09,20.9200,21.0600,20.7300,20.8100,68818217
2024-12-10,20.8300,20.8600,19.9600,20.1600,90004833
2024-12-11,20.1400,20.2500,19.8700,20.1200,75209342
2024-12-12,20.0200,20.9000,19.9200,20.7800,77695010
2024-12-13,20.6000,20.8000,20.2500,20.3400,55104079
2024-12-16,20.1700,21.1000,20.0000,20.8300,73832891
2024-12-17,20.6400,20.7700,20.2925,20.4400,51767153
2024-12-18,20.4800,20.5800,19.2100,19.3000,86041243
2024-12-19,19.5300,19.6900,19.0300,19.0600,69117805
2024-12-20,18.9700,19.7600,18.9000,19.5200,108453667
2024-12-23,19.5800,20.2300,19.5200,20.2000,57988375
2024-12-24,20.2200,20.4000,19.9600,20.4000,29884026
2024-12-26,20.2300,20.6650,20.0800,20.4400,39950380
2024-12-27,20.2100,20.6050,20.0900,20.3000,48260830
2024-12-30,20.0100,20.1150,19.7300,19.8200,59608126
2024-12-31,19.9900,20.4000,19.8800,20.0500,49846656
2025-01-02,20.2300,20.4300,20.0000,20.2200,46438529
2025-01-03,20.3900,20.6650,20.0600,20.5600,48983942
2025-01-06,20.8300,20.9800,19.7800,19.8700,83270990
2025-01-07,20.0200,20.3400,19.9000,20.0100,61726060
2025-01-08,19.8250,20.1200,19.7100,19.8800,47897071
2025-01-10,19.6600,19.6600,18.9100,19.1500,71244581
2025-01-13,18.9200,19.2490,18.7300,19.2000,50668970
2025-01-14,19.3600,19.5200,18.8200,19.2000,47147526
2025-01-15,19.4000,19.7700,19.1710,19.7200,56305989
2025-01-16,19.7500,19.9500,19.4000,19.6700,44898059
2025-01-17,21.2600,21.6200,20.7900,21.4900,166483914
2025-01-21,22.0300,22.4100,21.7500,21.7700,96262179
2025-01-22,21.7250,22.2850,21.5700,21.8600,60972578
2025-01-23,21.6900,21.7500,21.3500,21.5700,55778156
2025-01-24,21.3600,21.4100,20.7500,20.8300,66300614
2025-01-27,20.8100,21.0600,20.1400,20.2900,83582097
2025-01-28,20.3400,20.3420,19.7400,19.8000,73411385
2025-01-29,19.8700,20.0800,19.6600,19.7500,86506821
2025-01-30,19.7200,20.1000,19.4300,20.0100,108166983
2025-01-31,20.1000,20.3300,19.3800,19.4300,117474899
2025-02-03,18.9700,19.7500,18.7800,19.3800,77523142
2025-02-04,19.1000,19.5300,19.0200,19.2900,54098200
2025-02-05,19.1900,19.7700,18.9100,19.6500,66250254
2025-02-06,19.5100,19.7000,19.2200,19.3800,45553771
2025-02-07,19.3500,19.3600,19.0300,19.1000,58277917
2025-02-10,19.2500,20.0800,19.2400,19.7700,73007266
2025-02-11,19.8700,21.8800,19.8618,20.9700,150960704
2025-02-12,21.9800,22.5600,20.9300,22.4800,162631182
2025-02-13,22.8400,24.8300,22.7900,24.1300,248661333
2025-02-14,24.3600,25.1900,22.8600,23.6000,230254092
2025-02-18,24.6000,27.5500,24.4900,27.3900,284292210
2025-02-19,25.9800,26.3300,25.4600,25.7200,151881727
2025-02-20,25.5600,26.1200,24.4800,26.0900,144939566
2025-02-21,25.9600,26.2900,24.8400,24.8700,111630859
2025-02-24,24.5500,24.8000,23.6200,24.2700,91358071
2025-02-25,24.2100,24.2800,22.7701,22.9900,88886469
2025-02-26,23.2450,23.8200,23.2100,23.5200,67449304
2025-02-27,23.7000,24.4000,23.0700,23.0900,97871945
2025-02-28,23.0200,24.4400,22.6400,23.7300,104133777
2025-03-03,25.0000,25.0400,22.5200,22.7400,141348692
