,open,high,low,close,volume
2024-10-16,164.0000,164.9900,162.6400,164.2800,5982291
2024-10-17,164.2600,165.0000,163.6300,164.4700,4798238
2024-10-18,164.8900,165.2896,163.9300,165.1200,5908012
2024-10-21,165.1000,165.2500,162.3100,162.8300,6082736
2024-10-22,162.3200,163.7300,161.9000,163.4500,5680612
2024-10-23,162.8200,166.0000,162.4200,165.8600,7442026
2024-10-24,165.0000,165.5100,163.3400,163.6700,5386525
2024-10-25,163.6800,163.9200,160.6100,160.8800,6400449
2024-10-28,161.1300,161.9700,161.0000,161.6000,4842653
2024-10-29,161.4600,162.1700,160.0600,160.0900,5216879
2024-10-30,159.4500,161.2800,159.0302,160.6100,5820530
2024-10-31,159.9900,160.8700,159.4600,159.8600,8613860
2024-11-01,160.5800,161.0600,159.8800,160.1300,5256652
2024-11-04,159.7000,160.2800,158.0700,158.2400,4644011
2024-11-05,157.6700,158.5900,156.3500,158.3500,6547074
2024-11-06,159.9000,160.8500,157.3550,157.8800,8926601
2024-11-07,158.4700,158.7500,156.5100,156.7300,7522812
2024-11-08,157.0000,157.0800,155.4100,155.4700,8926134
2024-11-11,155.6200,157.5800,154.9100,155.0400,7146759
2024-11-12,154.5300,155.0400,152.3700,152.6400,7181408
2024-11-13,152.5000,153.5100,151.4245,153.2400,7162233
2024-11-14,153.1800,153.5918,150.7600,151.8700,7716385
2024-11-15,150.9000,154.4300,150.9000,154.0000,11328515
2024-11-18,152.5900,155.3300,152.3300,154.7700,7514177
2024-11-19,153.9450,153.9900,152.0500,153.0000,8233678
2024-11-20,153.0300,153.2500,151.8100,153.1100,9061274
2024-11-21,153.6200,156.0600,152.8100,155.5000,10141056
2024-11-22,155.9000,157.1150,154.1100,155.1700,8265961
2024-11-25,155.1700,157.0350,155.1400,155.7800,12256242
2024-11-26,155.1600,155.2500,153.1600,154.5200,5683499
2024-11-27,154.6300,156.6300,154.6000,155.4000,4140444
2024-11-29,154.8900,155.6700,154.1700,155.0100,5687821
2024-12-02,154.7500,155.0000,153.9258,154.8000,6946494
2024-12-03,154.8000,154.8000,152.3050,152.3600,8674415
2024-12-04,151.2900,151.5600,149.7500,150.4700,10333110
