,open,high,low,close,volume
2024-10-16,70.0900,70.7000,69.9700,70.5700,7937347
2024-10-17,70.6300,70.6900,69.5800,69.9000,14674631
2024-10-18,69.8700,70.5500,69.6050,70.4400,15087519
2024-10-21,70.0000,70.3250,69.3050,69.4500,11981163
2024-10-22,69.0000,69.7450,68.6800,69.4500,18603251
2024-10-23,66.9900,68.7000,66.5800,68.0100,24655203
2024-10-24,67.6500,68.0400,66.9520,67.3000,17568831
2024-10-25,67.0700,67.7000,66.7900,66.9200,11138127
2024-10-28,66.9600,67.3950,66.6000,66.6700,10761416
2024-10-29,66.2900,66.3400,65.5200,65.5600,16525917
2024-10-30,65.5100,66.5350,65.3200,65.9200,14177766
2024-10-31,65.8100,65.9900,65.2550,65.3100,13383717
2024-11-01,65.4700,65.6600,64.8900,65.0100,12163094
2024-11-04,65.0800,65.4200,64.6507,65.1100,10984502
2024-11-05,64.6400,65.4698,64.6400,65.3700,8780220
2024-11-06,64.4200,64.8600,63.1800,63.7000,22899263
2024-11-07,64.2900,64.3900,63.6000,63.6600,14856051
2024-11-08,63.9100,64.2400,63.7400,63.9200,14719308
2024-11-11,63.9900,64.1200,63.2509,63.3600,13980873
2024-11-12,63.6800,63.7500,63.1200,63.2000,15020975
2024-11-13,63.0500,63.2600,62.4900,63.0000,13177637
2024-11-14,63.1100,63.1100,62.4300,62.5500,15910820
2024-11-15,62.4900,62.6300,61.3900,61.7400,26284331
2024-11-18,61.8500,62.1400,61.5600,61.8600,16079364
2024-11-19,61.9000,62.6200,61.6300,62.5900,16254832
2024-11-20,62.7000,63.0100,62.0200,62.9900,18904909
2024-11-21,63.1500,63.8100,62.9500,63.7600,17292300
2024-11-22,64.2400,64.4800,63.6500,63.9200,19562231
2024-11-25,64.3200,64.7100,63.8400,64.3800,36805252
2024-11-26,64.3100,64.6400,64.0600,64.5500,14473271
2024-11-27,64.9600,65.1000,64.2500,64.4300,13263403
2024-11-29,64.0200,64.2500,63.7700,64.0800,10648354
2024-12-02,64.0500,64.1900,63.3450,63.6500,16500095
2024-12-03,63.7200,64.0800,63.0250,63.5200,24874490
2024-12-04,63.2750,63.3500,61.9000,62.2100,28137660
2024-12-05,62.4700,63.1200,62.1000,62.9200,21040359
2024-12-06,62.8300,63.3600,62.5100,62.5300,15581148
2024-12-09,62.6900,62.9290,61.9000,62.6000,22348331
2024-12-10,62.7000,63.0400,61.7900,62.9100,14949415
2024-12-11,63.0000,63.6300,62.4000,62.6400,32819011
2024-12-12,63.5500,63.9200,63.2200,63.8400,17542091
2024-12-13,63.5700,63.8350,63.1100,63.1200,13429033
