,open,high,low,close,volume
2024-10-16,506.3500,515.4025,506.0000,514.0700,2956878
2024-10-17,516.2900,517.0450,511.5200,513.7600,2227465
2024-10-18,514.5400,518.0000,512.5800,516.3400,2604684
2024-10-21,516.9900,518.8200,513.9401,515.0100,2217572
2024-10-22,511.1500,514.5500,510.5000,513.0200,1855981
2024-10-23,512.6600,514.7199,511.9000,513.7300,1759887
2024-10-24,511.9000,513.3400,509.4600,510.6200,1912122
2024-10-25,512.5000,514.7300,505.6200,507.3600,1582222
2024-10-28,507.4000,510.8599,506.1400,508.2100,2186574
2024-10-29,507.5400,511.3900,505.7000,506.2800,2066616
2024-10-30,512.5200,516.4500,507.0000,513.6900,3120968
2024-10-31,521.2500,527.9000,499.0300,499.5900,5523300
2024-11-01,500.4400,510.5500,498.5300,508.0800,3753713
2024-11-04,509.1400,510.0000,503.0300,505.5800,2165122
2024-11-05,505.5800,508.1500,503.6100,505.5600,2132859
2024-11-06,520.8600,523.0000,515.9400,521.1300,3674066
2024-11-07,523.9900,524.0300,516.5901,517.8800,2382508
2024-11-08,520.3400,528.8400,519.5300,524.7600,2215681
2024-11-11,528.8500,534.0250,528.5150,530.1200,2213822
2024-11-12,529.1000,530.9000,527.3000,529.1700,2577628
2024-11-13,530.0100,530.5000,516.4150,521.8800,2681881
2024-11-14,520.6200,522.3600,517.6500,520.4000,2480583
2024-11-15,518.5250,523.3900,518.0000,521.8900,2408193
2024-11-18,518.5900,523.4900,517.0000,521.6300,2493483
2024-11-19,518.7800,522.6500,516.7560,519.4600,2716216
2024-11-20,521.5300,522.5000,511.0000,512.5400,2409527
2024-11-21,513.2300,520.1200,511.5800,515.1000,3077464
2024-11-22,516.9300,521.7050,516.1800,520.8600,3130470
2024-11-25,521.6400,528.2500,521.0200,526.6000,4503914
2024-11-26,527.9000,530.6499,525.0600,528.4800,2326797
2024-11-27,529.0500,533.6200,526.5800,532.3800,2086434
2024-11-29,533.0100,535.7700,530.0300,532.9400,1760566
2024-12-02,532.9300,534.8200,526.2300,531.3600,2355191
2024-12-03,534.6700,534.8200,525.9600,526.1800,2319746
2024-12-04,523.6400,526.2750,518.1700,521.1400,2630030
2024-12-05,524.6000,527.4700,522.1700,524.7700,2538695
2024-12-06,522.9300,531.0000,522.5000,528.5700,2122791
2024-12-09,529.0200,531.5900,521.8750,522.8200,2942047
2024-12-10,522.5100,529.6600,520.2201,529.0100,2003265
2024-12-11,529.1900,535.8900,527.2701,534.4500,2181241
2024-12-12,536.2900,536.7500,531.9700,532.4100,1860815
2024-12-13,534.1700,534.6800,528.9100,529.0000,1608196
