,open,high,low,close,volume
2024-10-16,415.1700,416.3600,410.4800,416.1200,15508932
2024-10-17,422.3600,422.5000,415.5900,416.7200,14820004
2024-10-18,417.1400,419.6500,416.2601,418.1600,17145317
2024-10-21,416.1200,418.9600,413.7501,418.7800,14206115
2024-10-22,418.4900,430.5793,418.0400,427.5100,25482197
2024-10-23,430.8550,431.0800,422.5300,424.6000,19654379
2024-10-24,425.3250,425.9782,422.4000,424.7300,13581631
2024-10-25,426.7600,432.5200,426.5650,428.1500,16899064
2024-10-28,431.6550,431.9400,426.3000,426.5900,14882444
2024-10-29,428.0000,433.1700,425.8001,431.9500,17644080
2024-10-30,437.4350,438.5000,432.1000,432.5300,29749149
2024-10-31,415.3600,416.1600,406.3000,406.3500,53970981
2024-11-01,409.0100,415.5000,407.5000,410.3700,24230442
2024-11-04,409.8000,410.4150,405.5713,408.4600,19672286
2024-11-05,408.3700,414.9000,408.0800,411.4600,17626011
2024-11-06,412.4200,420.4500,410.5200,420.1800,26681842
2024-11-07,421.2800,426.8500,419.8800,425.4300,19901782
2024-11-08,425.3200,426.5000,421.7800,422.5400,16891414
2024-11-11,422.5150,424.8100,416.0000,418.0100,24503321
2024-11-12,418.2500,424.4400,417.2000,423.0300,19401204
2024-11-13,421.6400,429.3250,418.2100,425.2000,21502185
2024-11-14,425.0000,428.1700,420.0000,426.8900,30246881
2024-11-15,419.8200,422.8000,413.6400,415.0000,28247644
2024-11-18,414.8700,418.4037,412.1000,415.7600,24742013
2024-11-19,413.1100,417.9400,411.5500,417.7900,18133529
2024-11-20,416.8700,417.2900,410.5800,415.4900,19191655
2024-11-21,419.5000,419.7800,410.2887,412.8700,20780162
2024-11-22,411.3650,417.4000,411.0600,417.0000,24814626
2024-11-25,418.3800,421.0800,414.8500,418.7900,27691090
2024-11-26,419.5850,429.0414,418.8500,427.9900,23458889
2024-11-27,425.1050,427.2299,422.0200,422.9900,18332444
2024-11-29,420.0900,424.8800,417.8000,423.4600,16271921
2024-12-02,421.5700,433.0000,421.3100,430.9800,20207223
2024-12-03,429.8400,432.4700,427.7400,431.2000,18301987
2024-12-04,433.0300,439.6700,432.6300,437.4200,26009429
2024-12-05,437.9200,444.6600,436.1710,442.6200,21697775
2024-12-06,442.3000,446.1000,441.7703,443.5700,18821002
2024-12-09,442.6000,448.3300,440.5000,446.0200,19144388
2024-12-10,444.3900,449.6200,441.6000,443.3300,18469459
2024-12-11,444.0500,450.3500,444.0500,448.9900,19200208
2024-12-12,449.1100,456.1648,449.1100,449.5600,20834779
2024-12-13,448.4350,451.4300,445.5800,447.2700,20177833
2024-12-16,447.2700,452.1800,445.2800,451.5900,23598834
2024-12-17,451.0100,455.2900,449.5700,454.4600,22733494
2024-12-18,451.3200,452.6500,437.0200,437.3900,24444545
2024-12-19,441.6200,443.1834,436.3200,437.0300,22963681
2024-12-20,433.1100,443.7400,428.6300,436.6000,64263694
2024-12-23,436.7400,437.6500,432.8300,435.2500,19152519
2024-12-24,434.6500,439.6000,434.1900,439.3300,7164543
2024-12-26,439.0800,440.9400,436.6300,438.1100,8199927
2024-12-27,434.6000,435.2200,426.3500,430.5300,18117713
2024-12-30,426.0600,427.5500,421.9000,424.8300,13158703
2024-12-31,426.1000,426.7300,420.6600,421.5000,13246509
2025-01-02,425.5300,426.0700,414.8500,418.5800,16896469
2025-01-03,421.0800,424.0300,419.5400,423.3500,16662943
2025-01-06,428.0000,434.3200,425.4774,427.8500,20573648
2025-01-07,429.0000,430.6500,420.8000,422.3700,18139065
2025-01-08,423.4600,426.9700,421.5400,424.5600,15054575
2025-01-10,424.6300,424.7100,415.0200,418.9500,20201132
2025-01-13,415.2350,418.5000,412.2900,417.1900,17604780
2025-01-14,417.8100,419.7400,410.7200,415.6700,16935856
2025-01-15,419.1300,428.1500,418.2650,426.3100,19637838
2025-01-16,428.6950,429.4900,424.3900,424.5800,15300023
2025-01-17,434.0850,434.4800,428.1700,429.0300,26197507
2025-01-21,430.2000,430.8999,425.5950,428.5000,26085703
2025-01-22,437.5600,447.2700,436.0000,446.2000,27803811
2025-01-23,442.0000,446.7500,441.5048,446.7100,18389270
2025-01-24,445.1600,446.6500,441.4000,444.0600,15549453
2025-01-27,424.0100,435.2000,423.5000,434.5600,35647805
2025-01-28,434.6000,448.3800,431.3800,447.2000,23491703
2025-01-29,446.6900,446.8800,440.4000,442.3300,23581370
2025-01-30,418.7700,422.8600,413.1600,414.9900,54586260
2025-01-31,418.9800,420.6900,414.9100,415.0600,34223388
2025-02-03,411.6000,415.4100,408.6600,410.9200,25679149
2025-02-04,412.6850,413.9199,409.7400,412.3700,20532096
2025-02-05,412.3500,413.8270,410.4000,413.2900,16336188
2025-02-06,414.0000,418.2000,414.0000,415.8200,16309755
