,open,high,low,close,volume
2024-10-16,703.4300,705.5900,697.8200,702.0000,2494276
2024-10-17,704.3500,704.4124,677.8800,687.6500,8926672
2024-10-18,737.6400,766.2810,736.2300,763.8900,15974119
2024-10-21,765.7600,773.0000,756.6000,772.0700,6057093
2024-10-22,765.2700,769.7000,761.1200,764.2400,2987252
2024-10-23,762.8300,763.7899,744.2600,749.2900,3749007
2024-10-24,751.9700,755.8200,746.2500,754.5500,2642962
2024-10-25,756.1700,768.5000,753.5300,754.6800,2819473
2024-10-28,758.6800,758.6800,747.8800,749.1200,2862405
2024-10-29,751.1300,763.8800,748.0100,759.4400,3660433
2024-10-30,758.0800,759.7900,752.2775,753.7400,1722002
2024-10-31,753.9300,760.7899,752.2300,756.0300,3057709
2024-11-01,753.4800,763.7999,747.7700,756.1000,2996829
2024-11-04,753.1400,762.4800,749.6900,755.5100,1902194
2024-11-05,757.3500,767.5299,756.2700,763.9100,2200645
2024-11-06,771.5000,781.4900,757.3800,780.2100,3690817
2024-11-07,781.3700,798.2200,779.9400,796.5400,3295074
2024-11-08,797.3600,799.0600,788.6500,795.0400,1910626
2024-11-11,795.9000,806.8230,795.5650,805.4400,2399150
2024-11-12,807.5000,820.3697,803.7500,819.5000,2814064
2024-11-13,822.6150,836.9899,820.5368,830.4700,2767772
2024-11-14,833.6700,840.9997,830.0200,837.2600,3038231
2024-11-15,832.0400,832.0400,816.4900,823.9600,3673720
2024-11-18,815.5000,848.4500,809.3301,847.0500,4084081
2024-11-19,839.7500,874.4900,839.1600,871.3200,3814227
2024-11-20,879.9800,890.6000,868.4000,883.8500,4093843
2024-11-21,883.9300,908.0000,877.2400,897.4800,4511263
2024-11-22,896.0000,906.0000,893.0000,897.7900,3214020
2024-11-25,902.0500,902.0500,864.2200,865.5900,6014203
2024-11-26,867.4900,886.3600,867.2501,872.6000,3138259
2024-11-27,872.0600,880.9500,858.9100,877.3400,2578222
2024-11-29,882.1700,892.4100,876.6800,886.8100,2027237
2024-12-02,887.5100,902.3400,884.1200,897.7400,2388966
2024-12-03,894.3600,902.6900,888.0250,902.1700,2401634
2024-12-04,898.0500,915.9699,898.0500,911.0600,2689629
2024-12-05,917.8500,927.0000,911.1075,917.8700,2835307
2024-12-06,915.2300,935.2700,912.7100,934.7400,2955383
2024-12-09,928.0000,930.2999,902.5900,913.6900,3350082
2024-12-10,913.7600,922.8800,909.5800,913.3500,2388575
2024-12-11,924.7100,941.7500,923.0800,936.5600,3501691
2024-12-12,933.3500,934.0886,922.6000,925.5500,2486197
2024-12-13,916.8100,925.5500,909.6100,918.8700,2485829
2024-12-16,923.9400,928.9400,919.5000,921.0800,2674892
2024-12-17,921.5400,928.4500,916.4200,919.1300,2459456
2024-12-18,919.1300,922.4400,886.5600,889.5500,2938194
2024-12-19,908.1800,912.6215,899.0000,902.0400,2815512
2024-12-20,893.2100,919.9238,890.4872,909.0500,4530519
2024-12-23,913.4200,915.0000,899.1001,911.4500,2339375
2024-12-24,915.0000,935.8500,911.7000,932.1200,2320293
2024-12-26,928.4000,930.4900,915.3000,924.1400,2342418
2024-12-27,916.0100,918.1300,894.5000,907.5500,3226158
2024-12-30,894.5100,908.2299,889.7100,900.4300,2202970
2024-12-31,901.8000,902.6800,889.4700,891.3200,1875897
2025-01-02,895.5000,898.5800,877.0000,886.7300,2315685
2025-01-03,893.1300,898.8300,879.8901,881.0500,2970019
2025-01-06,888.7600,892.8300,871.6900,881.7900,3457656
2025-01-07,879.3800,888.0000,869.1100,879.1900,2649823
2025-01-08,880.0000,886.2150,873.0000,875.0000,2347949
