,open,high,low,close,volume
2024-10-16,175.0100,175.3300,173.6300,174.4800,4400852
2024-10-17,174.3800,175.4700,173.6950,174.6700,4125910
2024-10-18,172.3000,175.3300,172.1200,175.0600,5097170
2024-10-21,174.4600,177.5000,174.3487,175.0100,6436516
2024-10-22,174.5100,174.9500,173.5050,174.3700,3790452
2024-10-23,173.7000,173.8400,172.4700,172.9500,3800654
2024-10-24,172.9200,173.5350,171.7000,172.1600,4244903
2024-10-25,172.4700,174.0000,171.6000,171.7900,4442863
2024-10-28,172.9800,172.9800,169.7250,169.8400,5186635
2024-10-29,169.2000,169.2000,166.9700,167.5000,5127890
2024-10-30,167.0000,167.6399,166.0800,166.2100,4801541
2024-10-31,166.1000,167.5048,165.8100,166.0800,5582423
2024-11-01,166.0900,166.2500,165.2100,165.5900,6339121
2024-11-04,165.5900,166.6500,165.1852,166.3400,4885472
2024-11-05,165.9500,167.9600,165.6700,167.8500,3678708
2024-11-06,167.3700,167.4100,163.6000,164.7100,7849309
2024-11-07,164.5000,164.9000,163.4700,164.0000,5333532
2024-11-08,163.8400,165.8200,163.6450,165.1100,4618265
2024-11-11,164.4100,166.1500,163.9800,164.2600,3761969
2024-11-12,164.0900,165.0000,163.1500,164.3400,5386925
2024-11-13,163.4900,164.8000,162.3700,164.7400,4145443
2024-11-14,164.7400,166.8850,163.8300,165.1500,5422685
2024-11-15,164.3800,164.3800,158.0500,158.6200,9108948
2024-11-18,159.4050,159.8500,157.7600,158.3300,6992040
2024-11-19,157.7500,157.8700,155.8500,156.7200,8248864
2024-11-20,156.4500,159.1100,156.2000,158.7400,5067255
2024-11-21,158.3900,160.5000,157.9500,160.3400,5976987
2024-11-22,160.9000,162.0600,159.8900,162.0000,5846256
2024-11-25,162.7000,163.5900,162.0000,163.0500,8580393
2024-11-26,163.2700,163.6800,161.9000,162.1600,4653842
2024-11-27,161.9400,165.1300,161.6800,162.7200,3622893
2024-11-29,161.4300,163.5900,160.9500,163.4500,2799312
2024-12-02,163.3150,163.6500,161.7600,163.0500,4967612
2024-12-03,162.8400,163.0500,161.4200,161.7000,4277392
2024-12-04,160.6000,161.0327,159.4100,160.1800,6964605
2024-12-05,160.9300,161.0100,158.8300,160.4900,5229646
2024-12-06,159.3500,160.8000,157.6900,157.7900,8359166
2024-12-09,157.9100,161.5000,157.1400,159.4700,8380406
2024-12-10,159.0000,160.4200,157.3500,159.8400,5329401
2024-12-11,160.2100,160.5150,156.2600,156.7700,7925928
2024-12-12,159.0900,159.4000,157.9700,158.9000,6849507
2024-12-13,157.5300,159.5700,157.0600,157.9700,4353854
2024-12-16,157.8500,158.8200,155.8800,156.0200,6696490
2024-12-17,155.7400,158.5000,155.2400,156.1400,6572560
2024-12-18,155.0300,155.8300,154.1100,154.4300,7620865
2024-12-19,153.0900,154.0794,151.4100,151.4700,9829489
2024-12-20,150.8600,153.4900,150.5100,152.7900,19205164
2024-12-23,152.4100,152.4100,149.7056,151.2900,6822232
2024-12-24,150.5000,152.8300,150.4100,152.8100,3399800
2024-12-26,152.5300,153.1799,152.2400,152.4400,5529590
2024-12-27,151.2900,153.4700,151.2600,152.8900,4287007
2024-12-30,152.6600,153.0900,151.0900,151.7200,5397016
2024-12-31,151.8000,153.1500,150.9400,152.0600,4274960
2025-01-02,152.8800,153.6600,149.8900,150.2100,4970233
2025-01-03,150.9600,150.9600,149.5600,149.6500,5221639
2025-01-06,149.6000,149.9500,146.1000,146.2700,9470626
2025-01-07,146.4600,147.9700,145.3400,145.4000,7473300
2025-01-08,145.4000,146.6700,144.5600,146.5400,6791848
2025-01-10,145.0000,145.5750,141.5100,142.6400,9632651
2025-01-13,142.7900,145.1400,142.1400,144.5000,8101358
2025-01-14,144.1900,145.1400,143.5600,144.9500,6996448
2025-01-15,145.4900,146.2000,144.1700,144.7800,7141555
2025-01-16,144.0500,146.7900,143.6900,146.5400,5068040
2025-01-17,147.7200,148.6200,147.1700,148.2500,7338870
2025-01-21,148.3300,149.7800,147.7700,148.5500,7456182
2025-01-22,148.2300,149.4500,147.7900,148.0900,5905060
2025-01-23,148.4900,148.9399,146.6100,148.6200,4759125
2025-01-24,148.8200,149.3100,148.1300,149.1200,4509550
2025-01-27,150.9200,155.4700,150.8950,154.6100,9820585
2025-01-28,154.1450,154.6100,150.1200,150.2500,6349670
2025-01-29,151.1300,152.0000,150.2300,150.3700,4874072
2025-01-30,151.2800,153.0800,150.6300,151.9000,4671278
2025-01-31,150.7600,151.6900,150.2700,150.6900,4906744
2025-02-03,149.7550,151.1300,148.8300,150.2700,7196227
2025-02-04,146.1000,147.7500,143.0000,143.4900,12804949
2025-02-05,143.3900,145.7900,142.7000,145.6600,9249234
2025-02-06,146.2600,146.9000,143.9600,145.3500,5604877
2025-02-07,145.0100,145.1500,143.9000,144.5800,5872343
2025-02-10,144.3500,144.5200,143.0100,144.3500,8715391
2025-02-11,144.3700,145.7200,143.4000,145.6400,6353965
2025-02-12,144.0400,144.7800,143.0300,143.9900,6658177
2025-02-13,144.2300,144.9350,143.6000,144.5800,7175276
2025-02-14,144.6700,146.1700,143.3300,143.3900,5001806
2025-02-18,142.9000,144.1500,141.6000,144.1000,8738725
2025-02-19,144.2300,145.9300,144.1500,145.8100,5777273
2025-02-20,145.1100,149.1899,145.0000,149.1000,6789805
2025-02-21,149.9900,154.5500,148.9000,153.5000,10604404
2025-02-24,152.3400,156.3200,152.1200,153.8500,7187038
2025-02-25,154.7900,158.4600,154.0000,156.4200,9474619
2025-02-26,155.5700,155.6100,151.1400,151.5100,9076519
2025-02-27,150.9000,152.6893,149.9300,152.0200,6730985
2025-02-28,153.7000,155.1000,152.3500,153.4700,8455499
2025-03-03,151.3500,156.1500,150.5000,155.9900,8321674
2025-03-04,157.3350,160.1500,153.9600,154.1900,10274235
2025-03-05,152.9300,155.3400,152.7250,153.8800,5578701
2025-03-06,154.1700,154.9700,152.5300,154.6100,8421031
2025-03-07,153.2500,157.5900,152.7700,154.4400,8997748
2025-03-10,155.8800,160.0800,155.3700,156.2500,10879211
2025-03-11,155.7900,156.0500,151.8050,152.3300,7981566
2025-03-12,147.5450,149.5250,146.5100,148.1700,8330241
