,open,high,low,close,volume
2024-10-16,79.8100,80.8500,79.4500,80.8200,5434792
2024-10-17,80.7500,80.9000,79.2250,79.8200,8653971
2024-10-18,79.5000,80.9700,78.9400,80.9400,8844338
2024-10-21,80.3150,81.3600,80.0400,80.5600,7450264
2024-10-22,80.0500,81.4200,80.0400,80.9100,7571253
2024-10-23,81.2400,82.2400,80.0900,80.8300,7632139
2024-10-24,81.2350,82.4800,80.9200,81.3900,7398779
2024-10-25,82.0100,82.8000,81.4000,81.7000,7201013
2024-10-28,82.0300,83.7000,81.8800,83.5900,15243510
2024-10-29,78.0400,81.2500,76.8100,80.2800,35206386
2024-10-30,79.0300,79.7100,77.9900,78.2200,14910497
2024-10-31,78.4900,79.8200,78.3000,79.3000,13919255
2024-11-01,77.8650,78.3089,76.4600,77.2500,16473606
2024-11-04,77.2600,78.4400,77.0000,78.1300,10257036
2024-11-05,77.7380,79.4100,77.7380,79.2500,6573919
2024-11-06,81.3450,81.6900,79.9950,81.4100,11546541
2024-11-07,81.6950,82.7400,81.1300,81.3500,7994293
2024-11-08,81.4600,83.0700,81.3500,83.0100,8144180
2024-11-11,84.0700,87.4700,83.3800,86.9400,15459383
2024-11-12,86.8800,87.9200,85.6746,86.4000,10036908
2024-11-13,86.8000,87.9000,86.0800,87.3100,9256571
2024-11-14,87.0600,87.4725,85.4750,85.7900,8468252
2024-11-15,85.3500,86.2000,85.1014,85.8300,8083167
2024-11-18,86.0550,86.8400,84.5750,84.6700,10152571
2024-11-19,82.9900,84.2350,82.5000,84.0900,12442731
2024-11-20,84.5100,85.6000,84.2400,84.7400,6076348
2024-11-21,85.1600,85.4900,84.2100,84.8200,7250051
2024-11-22,84.6800,86.8000,84.5700,86.7700,6785992
2024-11-25,87.9900,88.7400,86.9700,87.7700,12998272
2024-11-26,87.4000,88.1800,86.9000,86.9400,5610415
2024-11-27,87.5500,87.6600,86.2700,86.5700,5477894
2024-11-29,86.3900,87.0800,85.8200,86.7700,4469740
2024-12-02,86.5500,87.4700,85.8400,86.5300,7273536
2024-12-03,86.4000,86.4000,84.6150,85.1400,8189778
2024-12-04,85.6800,90.1400,85.2400,89.3300,15535961
2024-12-05,89.5900,90.2700,88.2700,89.0450,9025551
2024-12-06,89.4900,90.0400,88.5450,89.8800,6955544
2024-12-09,92.2500,93.6600,89.7300,90.0000,10714196
2024-12-10,89.9400,90.0000,88.3750,88.7600,6697466
2024-12-11,88.6200,91.0300,87.8400,90.7500,6657199
2024-12-12,90.4300,91.1700,89.3350,89.4000,4711138
2024-12-13,90.4200,91.1850,89.8200,91.0200,8358050
2024-12-16,90.7900,91.4600,89.5200,91.3000,7402470
2024-12-17,90.9000,92.0000,90.2300,90.8600,8395584
2024-12-18,90.6950,91.0900,85.1764,85.4500,12583697
2024-12-19,86.2800,88.4200,86.1600,86.7800,9522428
2024-12-20,84.9100,88.2300,84.5000,87.1300,22052710
2024-12-23,86.4700,87.2400,85.9700,86.9000,5633131
2024-12-24,86.9000,88.3300,86.5900,88.2500,3276344
2024-12-26,87.6000,88.7300,87.2600,88.1400,4802170
2024-12-27,87.3600,87.6550,86.2027,86.8600,5124993
2024-12-30,85.6900,86.0675,84.6600,85.4300,5855039
2024-12-31,85.7350,85.9000,85.0500,85.3500,4533202
2025-01-02,85.8350,86.9400,84.8200,86.1800,6227776
2025-01-03,86.7300,87.7000,86.3100,87.6000,6136427
2025-01-06,88.0200,90.0900,87.7200,89.5300,7869184
2025-01-07,89.5300,89.9700,87.6000,87.9700,6080796
2025-01-08,88.0600,88.2300,86.7900,87.9400,7400030
2025-01-10,86.7900,87.0900,82.2400,83.3600,11341216
2025-01-13,82.1900,84.1200,81.7900,83.9900,7402380
2025-01-14,85.2900,87.4000,84.7500,87.1800,8958442
2025-01-15,88.7200,90.1900,88.4700,89.6400,10024081
2025-01-16,89.9600,90.3730,88.8500,88.9200,5816351
2025-01-17,90.7600,93.2450,90.0050,91.8100,16499703
2025-01-21,92.2100,92.2100,89.3900,89.7700,12629343
2025-01-22,90.0000,90.3700,89.1398,89.8500,7345739
2025-01-23,89.7600,89.7800,88.2400,89.7300,7540610
2025-01-24,89.5900,90.0240,88.8400,89.1100,6004674
2025-01-27,87.5450,90.2900,87.3900,90.2400,6923826
2025-01-28,89.7600,89.8300,86.8800,88.1900,8665994
2025-01-29,88.1700,89.4150,88.1700,88.7600,5234468
2025-01-30,89.5100,90.9250,88.8400,89.5700,7708468
2025-01-31,89.5700,90.4000,88.5400,88.5800,8338934
2025-02-03,86.5000,89.7100,86.0000,89.5100,11215041
2025-02-04,82.2600,82.6900,77.3800,77.7250,58801889
2025-02-05,78.2100,79.5000,77.6700,79.2000,23646046
2025-02-06,79.6800,79.7400,78.1100,78.5700,14440462
2025-02-07,79.0000,79.4900,77.2300,77.3100,13597269
2025-02-10,78.1600,78.9200,77.6100,78.2400,11815591
2025-02-11,77.8150,77.8500,76.0400,76.2100,15769395
2025-02-12,75.4200,76.8500,75.3000,76.2700,11782529
2025-02-13,76.3700,76.9250,75.7300,76.5900,9958597
2025-02-14,76.9000,78.3300,76.6300,77.9700,10504560
2025-02-18,78.2000,78.7600,77.5006,78.6200,11281243
2025-02-19,78.5000,79.0000,77.5350,78.3600,9082256
2025-02-20,78.1200,78.1700,76.8500,77.6300,9319311
2025-02-21,77.4400,77.4800,74.7500,74.9500,15171686
2025-02-24,75.2450,75.8800,73.9700,75.2500,12873277
2025-02-25,77.1350,77.5683,72.7000,74.0700,20647167
2025-02-26,74.3300,74.4800,71.7700,72.0500,15296804
2025-02-27,72.1500,72.5500,70.5800,70.7300,11661160
2025-02-28,70.5000,71.1200,69.6820,71.0500,13601324
2025-03-03,71.1000,71.5700,69.5000,69.7500,15753699
2025-03-04,69.0000,69.0800,66.3400,67.4800,20179966
2025-03-05,67.9800,69.6900,67.7000,69.5000,14464271
2025-03-06,68.8200,69.8600,67.6590,68.0800,11226928
2025-03-07,67.9700,70.9800,67.8250,70.4800,16388274
2025-03-10,69.0200,69.9700,66.9900,68.1600,14520721
2025-03-11,68.4100,68.9500,67.1650,67.9800,12133067
2025-03-12,68.8700,69.3800,67.9050,68.6200,11545839
