,open,high,low,close,volume
2024-10-16,221.4000,222.8199,218.9300,221.3300,49632824
2024-10-17,221.5900,222.0800,217.9000,220.8900,50791784
2024-10-18,220.7100,222.2800,219.2300,220.7000,49611867
2024-10-21,218.9000,220.4800,215.7260,218.8500,47328988
2024-10-22,217.3100,218.2200,215.2600,217.9700,43268741
2024-10-23,217.1250,218.7200,212.1100,213.6500,80938892
2024-10-24,244.6800,262.1199,242.6500,260.4800,204491903
2024-10-25,256.0100,269.4900,255.3200,269.1900,161611931
2024-10-28,270.0000,273.5360,262.2400,262.5100,107653603
2024-10-29,264.5100,264.9800,255.5100,259.5200,80521751
2024-10-30,258.0350,263.3500,255.8201,257.5500,53993576
2024-10-31,257.9900,259.7500,249.2500,249.8500,66575292
2024-11-01,252.0430,254.0000,246.6300,248.9800,57544757
2024-11-04,244.5600,248.9000,238.8800,242.8400,68802354
2024-11-05,247.3400,255.2799,246.2101,251.4400,69282505
2024-11-06,284.6700,289.5900,275.6200,288.5300,165228710
2024-11-07,288.8900,299.7500,285.5200,296.9100,117309232
2024-11-08,299.1400,328.7100,297.6600,321.2200,204782763
2024-11-11,346.3000,358.6400,336.0000,350.0000,210521625
2024-11-12,342.7400,345.8400,323.3100,328.4900,155726016
2024-11-13,335.8500,344.5999,322.5000,330.2400,125405599
2024-11-14,327.6900,329.9800,310.3700,311.1800,120726109
2024-11-15,310.5700,324.6799,309.2200,320.7200,114440286
2024-11-18,340.7300,348.5499,330.0100,338.7400,126547455
2024-11-19,335.7600,347.3799,332.7500,346.0000,88852452
2024-11-20,345.0000,346.5999,334.3000,342.0300,66340650
2024-11-21,343.8100,347.9899,335.2800,339.6400,58011719
2024-11-22,341.0850,361.5300,337.7000,352.5600,89140722
2024-11-25,360.1400,361.9300,338.2000,338.5900,95890899
2024-11-26,341.0000,346.9600,335.6600,338.2300,62295857
2024-11-27,341.8000,342.5500,326.5900,332.8900,57896439
2024-11-29,336.0800,345.4500,334.6500,345.1600,37167621
2024-12-02,352.3800,360.0000,351.1501,357.0900,77986478
2024-12-03,351.8000,355.6900,348.2000,351.4200,58267196
2024-12-04,353.0000,358.1000,348.6000,357.9300,50810874
2024-12-05,359.8700,375.4300,359.5000,369.4900,81403569
2024-12-06,377.4200,389.4900,370.8000,389.2200,81455834
2024-12-09,397.6100,404.8000,378.0100,389.7900,96359173
2024-12-10,392.6800,409.7300,390.8500,400.9900,97563578
2024-12-11,409.7000,424.8800,402.3800,424.7700,104287559
2024-12-12,424.8400,429.3000,415.0000,418.1000,87752225
2024-12-13,420.0000,436.3000,415.7100,436.2300,89000158
2024-12-16,441.0900,463.1900,436.1500,463.0200,114083811
2024-12-17,475.9000,483.9900,457.5101,479.8600,131222978
