,open,high,low,close,volume
2024-10-16,278.6200,287.6000,278.3500,287.5200,9442687
2024-10-17,288.5700,290.9300,287.6100,290.3900,8815841
2024-10-18,289.9200,291.0400,288.0800,290.6200,5350923
2024-10-21,289.6000,290.4400,286.3300,286.8500,6313148
2024-10-22,285.0500,286.5300,283.5300,284.7900,5736450
2024-10-23,286.0400,286.0550,283.5300,283.7600,5249255
2024-10-24,282.3900,283.6200,281.7300,283.2200,4680151
2024-10-25,284.0000,285.0900,280.7801,281.7300,4464561
2024-10-28,282.0400,284.6400,281.5300,284.1900,4306240
2024-10-29,284.2700,285.7000,281.3500,281.8800,7534759
2024-10-30,292.3400,295.7800,288.3300,290.1600,9606784
2024-10-31,292.0900,296.3400,289.6210,289.8500,7950228
2024-11-01,288.4900,292.6700,287.1900,290.7400,5471088
2024-11-04,291.5500,293.1500,290.7600,291.8500,4281721
2024-11-05,291.7100,294.7800,291.5800,293.2900,3753721
2024-11-06,306.3200,309.0000,302.8201,307.4000,10320476
2024-11-07,307.5000,307.6300,304.4200,305.8000,6237348
2024-11-08,306.8900,311.1500,305.6900,307.8700,6240616
2024-11-11,310.0900,312.4400,309.3000,310.9200,4674088
2024-11-12,309.0400,310.5500,308.1100,309.8500,4616616
2024-11-13,309.4900,310.9485,307.8400,309.4800,4046544
2024-11-14,309.3000,311.2900,307.8300,308.2500,4415788
2024-11-15,307.5600,310.7200,306.6600,309.6400,5106284
2024-11-18,309.4800,312.4100,308.7000,312.1600,4585944
2024-11-19,310.0000,312.2300,308.5100,311.8500,4885860
2024-11-20,311.8600,312.2900,306.2200,307.3900,6350282
2024-11-21,307.3000,310.9200,306.6500,309.9000,5757406
2024-11-22,307.9700,311.5900,307.9000,309.9200,5919518
2024-11-25,311.8600,313.6600,309.8600,313.1900,14189302
2024-11-26,314.2000,314.5000,311.5400,311.8200,7071592
2024-11-27,310.7700,316.3700,309.4900,314.7000,5204318
2024-11-29,314.2900,316.2500,313.7000,315.0800,3853281
2024-12-02,316.9000,317.4200,313.7100,316.6500,5597635
2024-12-03,317.1000,317.3200,312.7700,313.0100,5009907
2024-12-04,312.4200,312.8500,308.8000,309.9000,5981759
2024-12-05,309.9800,311.0900,308.8300,309.0800,5200052
2024-12-06,308.8700,312.5600,308.8000,311.0100,4302851
2024-12-09,311.8300,313.0100,307.6400,308.3000,5785297
2024-12-10,307.3600,312.9800,306.6400,312.3800,4539827
2024-12-11,313.0400,315.5500,311.2150,313.7900,4321824
2024-12-12,314.8200,315.5500,313.4300,314.2300,3218540
2024-12-13,315.8300,316.9500,314.3400,314.7400,4682543
2024-12-16,314.7400,317.5600,314.1000,315.8900,6562510
2024-12-17,315.8200,318.8400,315.1400,318.3000,8844349
2024-12-18,318.5000,321.6150,309.5600,309.7800,10479177
2024-12-19,311.8300,316.8700,311.2300,314.8800,8317119
2024-12-20,313.5700,320.0000,312.2800,317.7100,24387016
2024-12-23,315.6500,317.9700,313.3500,317.2200,7984610
2024-12-24,318.1700,321.5400,317.2800,320.6500,2684103
2024-12-26,319.7700,321.4500,319.4600,320.9100,2856059
2024-12-27,319.2700,321.5000,317.5600,318.6600,3489200
2024-12-30,314.6800,317.1100,313.2300,315.3100,3478763
2024-12-31,316.1200,317.6600,315.1901,316.0400,3963824
2025-01-02,317.7800,319.6800,312.4100,314.4000,5373059
2025-01-03,314.1800,315.9200,312.0100,314.9100,4271845
2025-01-06,315.0100,315.3900,312.0700,313.0400,6567336
2025-01-07,312.8900,315.1900,311.3200,311.6700,4958641
2025-01-08,311.0000,314.0400,310.2146,312.6000,5161601
2025-01-10,311.2000,311.8500,305.9900,307.7100,6660255
2025-01-13,305.0000,306.9200,303.8400,306.9200,9568727
2025-01-14,308.7500,310.1600,307.5200,309.0900,5107901
2025-01-15,313.6800,317.1876,313.1300,316.2800,5222278
2025-01-16,315.7500,319.1800,315.7500,317.2500,4606670
2025-01-17,317.5000,320.5900,316.7100,319.6200,5805810
2025-01-21,320.3100,324.5800,320.0000,323.6300,5653341
2025-01-22,324.7700,325.7400,322.3800,323.5600,5026478
2025-01-23,323.7600,328.5100,323.5700,328.2100,5297085
2025-01-24,328.0200,331.0850,327.8050,330.2000,4327755
2025-01-27,330.0000,335.4900,328.0500,334.5400,6636541
2025-01-28,334.6700,337.8300,332.8900,334.4800,5999623
2025-01-29,334.5000,337.1100,334.5000,335.8800,5087286
2025-01-30,339.5100,344.4400,339.0000,343.0500,8081262
2025-01-31,346.4700,351.2499,341.7100,341.8000,8628071
2025-02-03,340.0000,346.0000,339.2400,345.8200,8004548
2025-02-04,344.6000,346.0100,342.5400,345.1500,5532573
2025-02-05,346.0000,349.4768,345.2500,349.4400,4939090
2025-02-06,349.7800,350.6500,346.6001,347.4800,4294541
2025-02-07,348.0000,350.7485,347.2100,348.0200,4261612
2025-02-10,348.7000,351.9000,347.7000,351.2300,6067002
2025-02-11,348.3000,352.1200,346.2500,350.7200,5154783
2025-02-12,349.1600,351.8300,347.4900,351.4900,6760066
2025-02-13,353.1200,356.0800,350.7300,355.6300,4279581
2025-02-14,354.4300,355.4299,353.2200,353.8100,5720285
2025-02-18,353.6900,356.7400,352.4000,356.7300,5822034
2025-02-19,356.0150,357.1500,354.1800,355.2300,4152269
2025-02-20,355.2300,356.1300,349.0600,350.4900,5697023
2025-02-21,350.4900,353.3200,347.4800,348.5300,6924127
2025-02-24,348.7550,350.8000,347.3550,349.8600,5055927
2025-02-25,351.3700,352.5867,346.0000,352.0900,6191949
2025-02-26,350.0000,351.8300,348.9900,350.6300,5960603
2025-02-27,351.9000,360.3100,351.6750,355.7400,7298114
2025-02-28,354.7100,364.0000,353.7109,362.7100,15857344
2025-03-03,363.0000,366.5400,359.5401,361.8200,9099607
2025-03-04,360.1100,360.2700,350.4000,352.2300,8955804
2025-03-05,350.8300,354.1065,348.9350,352.6800,8244242
2025-03-06,345.9600,348.8700,340.3878,344.1600,8611119
2025-03-07,340.8700,346.3900,339.1400,345.3200,6358901
2025-03-10,339.9400,345.0100,337.6400,341.4800,8190091
2025-03-11,338.4100,339.6100,329.5750,332.1400,9776072
2025-03-12,335.9700,336.1600,329.1100,332.8400,6295394
