,open,high,low,close,volume
2024-10-16,81.5300,81.6600,80.6200,81.2200,11123254
2024-10-17,81.2700,81.5000,80.6450,80.8900,9424705
2024-10-18,80.8700,81.6900,80.6600,81.3100,12324148
2024-10-21,81.2300,81.5496,80.7200,80.8100,9750376
2024-10-22,81.1100,82.2250,80.8250,82.0200,12240149
2024-10-23,81.8900,83.3400,81.8000,83.2700,13058244
2024-10-24,82.9600,83.3150,82.5800,83.0400,11645856
2024-10-25,83.2000,83.3000,82.4350,82.5100,8959412
2024-10-28,82.7500,83.0800,82.4700,82.7500,7990186
2024-10-29,82.6700,82.8600,81.6650,81.7000,9682403
2024-10-30,81.6000,81.8300,81.3000,81.3900,9268824
2024-10-31,81.2900,82.4400,81.2200,81.9500,15538968
2024-11-01,82.5300,82.5300,81.5400,82.1900,12181833
2024-11-04,82.2000,82.9050,82.0000,82.4500,11731043
2024-11-05,82.6800,83.7700,82.5100,83.6800,10612489
2024-11-06,85.1400,85.5400,82.0600,83.4400,19974038
2024-11-07,83.7200,84.3900,83.4200,83.8500,12665777
2024-11-08,84.2800,85.4200,84.2300,84.8300,14396543
2024-11-11,84.9500,85.4100,84.1200,84.2100,10433166
2024-11-12,84.5000,85.5300,84.5000,84.9900,12860194
2024-11-13,84.9900,85.7900,84.7700,85.5000,12802622
2024-11-14,85.0300,85.7600,84.3400,84.4700,15740732
2024-11-15,84.5300,84.7800,83.9420,84.2500,17370602
2024-11-18,84.8200,84.8500,83.6600,84.0800,25278121
2024-11-19,86.2300,88.2900,85.9100,86.6000,36340856
2024-11-20,86.6000,87.2000,85.9100,87.1800,18183193
2024-11-21,87.4500,88.6400,86.9300,88.3900,18729222
2024-11-22,89.4100,90.9100,88.9300,90.4400,23990645
2024-11-25,90.5000,90.9500,89.0600,89.5000,25078633
2024-11-26,89.8900,91.8800,89.8400,91.3100,16657022
2024-11-27,92.0000,92.2500,91.3100,91.8800,14358861
2024-11-29,92.2600,92.6400,91.8200,92.5000,11041178
2024-12-02,92.8200,92.9887,91.9500,92.6400,17172953
2024-12-03,92.7800,93.5900,92.2600,93.5100,17775226
2024-12-04,93.4500,94.5150,93.0500,94.4500,17312575
2024-12-05,94.8900,95.6000,94.3400,95.3000,21932325
2024-12-06,95.5400,96.1800,95.3300,95.7000,18803499
2024-12-09,95.6600,95.9400,93.6020,93.8300,20931082
2024-12-10,94.0500,95.2400,93.7700,94.5500,13164487
2024-12-11,94.5400,95.6900,94.5000,94.9600,19682085
2024-12-12,95.6800,95.7150,94.0900,94.0900,14298626
2024-12-13,93.8000,94.6800,93.0400,94.2500,11495854
2024-12-16,94.4200,95.7050,94.1048,94.8700,16741989
2024-12-17,95.1400,95.4900,94.3200,95.4200,23560821
2024-12-18,95.3400,95.8950,93.1304,93.5500,24665600
2024-12-19,94.4800,94.5650,93.3600,93.4000,16606501
2024-12-20,93.0100,93.7486,91.6300,92.2400,49350586
2024-12-23,91.5000,91.5000,88.9100,90.3500,26205379
2024-12-24,90.3700,92.6800,90.3500,92.6800,8992427
2024-12-26,92.5400,92.8750,92.1700,92.7900,10997611
2024-12-27,92.1300,92.3500,91.0300,91.6600,11384359
2024-12-30,90.7300,91.0700,90.1300,90.5700,9790196
2024-12-31,90.5700,90.9400,90.0550,90.3500,11267652
2025-01-02,89.9800,90.6000,89.5200,90.0000,14820438
2025-01-03,90.1500,91.3000,90.1400,90.7800,10834630
2025-01-06,90.8300,92.4700,90.6700,91.4300,14519858
2025-01-07,91.7000,91.9400,90.4500,90.8100,11238044
2025-01-08,91.1100,91.8450,90.8200,91.8000,13453627
2025-01-10,92.4900,93.5750,92.2000,93.0000,18140864
2025-01-13,92.1200,92.4300,91.1000,91.5300,18617077
2025-01-14,91.8600,91.9800,90.5650,90.7900,13549159
2025-01-15,91.0650,91.7250,90.8100,91.3400,17348174
2025-01-16,91.5000,91.7200,90.1200,91.3000,13267723
2025-01-17,92.0700,92.2600,91.0500,91.9400,15868213
2025-01-21,92.4800,94.2400,92.3100,93.0800,23247451
2025-01-22,93.7700,94.0000,92.5200,93.2300,15567057
2025-01-23,92.9600,93.8100,92.3200,93.8100,14198438
2025-01-24,93.5400,95.0100,93.4550,94.7600,14973773
2025-01-27,95.9000,97.4600,94.8200,97.4000,18880614
2025-01-28,97.2300,97.8400,96.7251,97.2900,14641621
2025-01-29,97.4250,98.1700,97.2200,97.5000,11261444
2025-01-30,97.6900,98.9300,97.4200,98.6500,11012220
2025-01-31,99.0000,99.0000,97.7000,98.1600,16413893
2025-02-03,96.7700,99.7900,96.4700,99.5400,20484152
2025-02-04,99.9700,100.9500,99.6900,100.7700,15201194
2025-02-05,100.6500,102.5800,100.5400,102.4600,15926717
2025-02-06,102.5300,103.0200,101.9400,102.8500,13088467
2025-02-07,103.0000,103.1100,101.1100,101.1500,12451072
2025-02-10,101.9500,102.9300,101.2500,102.9200,15274644
2025-02-11,102.6200,102.8500,101.8500,102.4700,11953632
2025-02-12,102.1200,103.9000,102.0400,103.6100,15162125
2025-02-13,104.0000,105.2400,103.5300,105.0500,12604413
2025-02-14,105.3000,105.3000,103.6000,104.0400,14109460
2025-02-18,103.7200,103.9900,102.5100,103.7800,18247314
2025-02-19,103.8500,104.2000,102.5500,104.0000,18507981
2025-02-20,98.7800,100.1200,96.6808,97.2100,55450924
2025-02-21,96.5300,96.8500,94.1150,94.7800,35014806
2025-02-24,94.1800,94.6400,92.1200,93.6700,29755875
2025-02-25,94.3500,97.9100,94.2400,97.6900,29331188
2025-02-26,97.7000,98.7250,96.0700,96.2000,19069721
2025-02-27,95.9000,98.0399,95.8092,96.7900,16431469
2025-02-28,97.7900,98.8600,97.1700,98.6100,25451260
2025-03-03,97.9800,99.4900,96.8250,97.5900,18372193
2025-03-04,95.7600,97.0500,94.4600,94.9700,25227673
2025-03-05,94.9700,96.3900,94.7500,95.9800,17638956
2025-03-06,94.8000,96.1900,94.1833,94.6400,19957804
2025-03-07,93.9400,93.9500,90.7600,91.7200,35913156
2025-03-10,89.7600,90.2300,86.6100,87.8200,35029553
2025-03-11,87.2900,89.3450,87.1400,87.4400,28687586
2025-03-12,87.8800,89.1000,84.8800,85.2000,33301609
