,open,high,low,close,volume
2024-10-16,120.8900,121.4350,120.6000,120.6600,8426770
2024-10-17,120.7600,121.5800,119.7100,120.3500,11204857
2024-10-18,120.4400,120.6400,119.1500,120.0100,12898640
2024-10-21,120.9800,121.4800,119.7200,120.0800,10177777
2024-10-22,120.2600,121.1900,119.9400,120.7000,9201408
2024-10-23,119.9700,120.7500,119.4000,120.2700,8320330
2024-10-24,120.0000,120.4400,119.1250,119.5900,9905556
2024-10-25,120.2000,120.4300,119.3150,119.4900,10714583
2024-10-28,116.7900,119.0100,116.7700,118.9000,11844545
2024-10-29,118.5800,119.1719,117.0701,117.2800,14731024
2024-10-30,117.6600,118.2700,116.4800,116.6900,12303738
2024-10-31,117.1500,118.6700,116.6800,116.7800,20511977
2024-11-01,119.9300,119.9500,114.8400,114.9500,20939321
2024-11-04,116.0700,118.7000,115.9300,118.6100,14965433
2024-11-05,119.0800,119.2100,118.0100,118.9600,10436744
2024-11-06,121.1450,121.9100,119.3000,121.0000,20807681
2024-11-07,121.3000,121.5000,119.6100,121.1500,12184431
2024-11-08,120.9800,121.4200,119.6600,121.1100,12835969
2024-11-11,121.0000,121.6200,120.0700,120.4700,11969663
2024-11-12,121.1300,121.3100,119.8365,120.3500,11972802
2024-11-13,120.5650,122.0500,118.8000,121.4700,15127877
2024-11-14,121.6600,121.8800,120.3300,120.5600,13041845
2024-11-15,120.4000,121.2400,119.1300,119.3100,19051713
2024-11-18,119.7900,120.6200,119.2700,120.3100,14243701
2024-11-19,119.7500,119.7500,118.2000,118.6300,11584382
2024-11-20,119.1700,120.4700,118.6400,120.3200,11360932
2024-11-21,121.0800,122.5547,120.2700,121.9300,14675422
2024-11-22,121.8200,123.2100,121.6400,121.7900,13323431
2024-11-25,121.4300,121.8800,119.6100,119.9700,26580295
2024-11-26,119.5300,119.6800,117.8450,117.9700,14827327
2024-11-27,118.0900,118.7300,117.4300,117.6600,11079122
2024-11-29,117.4400,118.5000,116.9500,117.9600,9426499
2024-12-02,118.0500,118.2000,116.8200,117.8500,12687317
2024-12-03,118.7200,118.7200,117.2550,117.6700,11756566
2024-12-04,117.5000,117.5500,113.8612,114.2800,19520583
2024-12-05,114.7100,115.6200,114.0600,114.7800,15751204
2024-12-06,114.5400,114.7700,113.5000,113.5700,16171066
2024-12-09,114.6400,114.9400,112.7450,112.9000,17412565
2024-12-10,113.5850,113.8800,111.7500,112.6700,20990943
2024-12-11,112.0000,112.3900,111.1100,111.9200,32392238
2024-12-12,111.5900,112.3800,110.7800,111.8200,14543256
2024-12-13,111.8990,111.8990,110.2500,110.8400,13106079
2024-12-16,110.2000,110.4000,108.1600,108.4700,20256088
2024-12-17,107.2350,108.1700,106.7869,108.0100,17553995
2024-12-18,107.5700,108.8300,106.3100,106.4200,17114542
2024-12-19,107.3900,107.6700,105.2100,105.5100,20565557
2024-12-20,105.4500,106.1350,104.8400,105.8700,40141153
2024-12-23,105.3100,106.6000,104.9200,106.3000,12285078
2024-12-24,106.5200,107.1900,105.7000,106.4000,7806997
2024-12-26,106.5200,107.0300,105.9400,106.4900,9653408
2024-12-27,106.3000,107.9900,105.7700,106.4800,11943906
2024-12-30,106.3000,106.5600,105.5100,105.7600,11080770
2024-12-31,106.1700,107.9000,105.7800,107.5700,12387756
2025-01-02,108.2750,109.0000,106.8800,107.3100,12685447
2025-01-03,108.0000,108.4900,107.4600,107.8600,14237885
2025-01-06,108.2400,109.7800,107.5200,107.7400,15623677
2025-01-07,108.9400,110.0600,108.2800,108.7500,12625890
2025-01-08,107.3100,107.7100,106.0100,106.9300,17858110
2025-01-10,108.7000,110.1000,105.7800,106.5400,19304499
2025-01-13,107.1250,109.6300,107.1250,109.2900,17073395
2025-01-14,108.7900,109.7600,107.8300,109.7200,11191175
2025-01-15,110.0500,111.7300,109.4700,111.5100,14521095
2025-01-16,111.1900,111.6900,110.5500,111.3200,10366585
2025-01-17,111.0300,112.8651,110.8200,112.3200,19298504
2025-01-21,112.0500,112.1750,111.1305,111.4700,20416286
2025-01-22,111.2000,111.5700,109.4000,109.5300,15718012
2025-01-23,110.3100,111.1425,109.6100,110.1500,13726784
2025-01-24,110.2400,110.7100,108.4100,108.6600,14235885
2025-01-27,109.0100,110.4506,108.3900,110.1700,15926670
2025-01-28,110.4100,110.8700,107.7900,108.0400,15862029
2025-01-29,107.7100,108.7800,107.4700,108.6700,12345523
2025-01-30,109.2400,109.8500,108.7000,109.5700,14346335
2025-01-31,110.5500,110.5500,106.0950,106.8300,20381446
2025-02-03,106.6400,107.3000,105.3225,107.0900,14623197
2025-02-04,106.7050,110.2800,106.5300,109.9600,14835692
2025-02-05,109.7400,110.0100,109.1000,109.8800,13364387
2025-02-06,110.7700,111.0500,107.9850,108.4300,13411401
2025-02-07,108.7800,109.7304,108.3200,108.8900,10051626
2025-02-10,110.0050,111.0300,109.8750,110.9700,12142197
2025-02-11,111.6000,112.5100,110.8200,111.6700,12713127
2025-02-12,110.0500,110.2269,107.1800,107.3500,18244122
2025-02-13,107.1500,108.4100,106.5200,108.1300,15459952
2025-02-14,108.5200,110.2300,108.1000,108.2400,15733529
2025-02-18,108.6300,110.9900,108.3200,110.1400,20060298
2025-02-19,110.7550,112.1300,110.0550,110.3000,10964698
2025-02-20,110.5700,112.4200,109.9500,112.0000,16325803
2025-02-21,111.3200,111.8500,110.5600,110.6900,14709985
2025-02-24,110.9250,111.8600,110.3200,111.2700,13153471
2025-02-25,111.3000,112.1300,108.8902,109.7300,14496964
2025-02-26,109.7400,109.8700,108.5200,109.4600,10446405
2025-02-27,110.0100,111.2900,109.2800,110.1500,15293173
2025-02-28,110.1100,111.5800,109.3400,111.3300,18821665
2025-03-03,111.7000,112.1563,106.5100,107.7600,18706879
2025-03-04,106.3600,108.9600,105.9400,107.5400,19394905
2025-03-05,105.8400,106.3300,103.6700,105.4400,24822245
2025-03-06,105.4300,108.1100,104.3600,107.6200,17150233
2025-03-07,108.4100,110.4000,108.3000,109.0200,19624965
2025-03-10,109.2800,112.5700,109.0800,111.8000,22716116
2025-03-11,111.9200,112.1000,108.7850,109.1600,19904735
2025-03-12,109.0500,110.1300,108.4200,109.1300,14051500
